track,exp02_corr,exp02_lag,exp05_corr,exp05_lag
mBR0_,0.14945510284227734,9,0.16474456404363352,12
mBR1_,0.1282630107213373,9,0.16544538439571072,-8
mBR2_,0.06922285936574879,-15,0.12488080173629469,5
mBR3_,0.1937406893751486,-11,0.2286509089431133,-2
mBR4_,0.053071384533681584,7,0.1467174789907696,-10
mBR5_,0.2664822644240794,-2,0.09845762443325307,-10
mHO0_,0.17940470080195714,13,0.10312227439052309,-12
mHO1_,0.15613672747743762,-15,0.1291221978884833,-5
mHO2_,0.2804157984262741,2,0.184106535679944,12
mHO3_,0.13692839468174783,-13,0.23361376972302125,14
mHO4_,0.16044871157321572,10,0.14994172455252552,-7
mHO5_,0.0551319497153795,-11,0.17155494513894026,-10
mJB0_,0.18708912518864082,3,0.16263418896465273,-4
mJB1_,0.13351131159421326,-9,0.16260845060251905,0
mJB2_,0.14176885749670026,13,0.16798790584689535,9
mJB3_,0.11765608984135903,14,0.21839707832578328,-4
mJB4_,0.15452416824108628,-6,0.12615012937018538,-11
mJB5_,0.18847989251722236,15,0.0750899360581151,13
mJS0_,0.24692576522341597,0,0.27976774874286603,6
mJS1_,0.13883236941229893,0,0.2756224073432842,1
mJS2_,0.18851654595791523,4,0.12729404700475985,-4
mJS3_,0.18479698267188208,8,0.20972582721157365,-14
mJS4_,0.27312612367214817,7,0.2320487042762855,-13
mJS5_,0.17989020702224984,15,0.08918340946179423,10
mKR0_,0.05363952650679991,-3,0.1888263625521794,-14
mKR1_,0.1401123522783167,-1,0.15156463692028588,-12
mKR2_,0.2591318848120979,4,0.17601485680773019,-14
mKR3_,0.23461330640329706,-5,0.18557972255138352,-11
mKR4_,0.17514990090911353,13,0.07500110581469832,-12
mKR5_,0.12498939139545201,9,0.07870568725117998,-4
mLH0_,0.25997417148876073,-8,0.2253090785566167,-11
mLH1_,0.13719142563293063,12,0.252776568259376,-10
mLH2_,0.28759468066071114,0,0.15502257125778016,15
mLH3_,0.15520753467889747,-10,0.14740429509026204,12
mLH4_,0.21553125503080886,0,0.21351743702783688,-12
mLH5_,0.27100087408569207,-5,0.2034130205468824,-10
mLO0_,0.1393848886430971,11,0.1840571273999904,-7
mLO1_,0.08613302671898974,6,0.2438738624585553,6
mLO2_,0.12094961172662852,-1,0.1369208860013142,-5
mLO3_,0.17231116919113146,-4,0.05965820396271372,-14
mLO4_,0.1828662266102588,13,0.2346738834191407,12
mLO5_,0.08723715642370738,-6,0.12947332132691,4
mMH0_,0.11685321005897316,-10,0.10086327565320048,0
mMH1_,0.19833942810094016,-15,0.18652670098502783,13
mMH2_,0.2334068839789715,-13,0.17808273939868027,-10
mMH3_,0.13472590885533342,6,0.10503811347157396,1
mMH4_,0.23273532222980797,3,0.39643774957750205,15
mMH5_,0.25037332712325555,-6,0.09873776479885842,7
mPO0_,0.2034900454657326,-7,0.2457587190796657,6
mPO1_,0.24578852403939005,-14,0.11076663739112942,-8
mPO2_,0.11238301978481625,10,0.1463049318789358,-7
mPO3_,0.15052020859193715,15,0.15980224326704806,13
mPO4_,0.1725406990674146,-3,0.283360403290819,-15
mPO5_,0.2458657453770598,-15,0.07425981136956256,-9
mWA0_,0.18226106523073335,-11,0.12966439388413262,2
mWA1_,0.19664016848437166,-5,0.21946120628226184,15
mWA2_,0.18969682720607783,-13,0.17375260086741642,-8
mWA3_,0.0508606450847324,-13,0.17992701689978727,15
mWA4_,0.24551303150830073,-4,0.1770290308004094,6
mWA5_,0.1694711734703505,11,0.07569918457196256,8
