track,exp02_jerk,exp08_jerk
mBR0_,0.26826322078704834,0.3891462981700897
mBR1_,0.22354839742183685,0.25803178548812866
mBR2_,0.10036304593086243,0.3559373617172241
mBR3_,0.35077986121177673,0.18208545446395874
mBR4_,0.11467304080724716,0.30770549178123474
mBR5_,0.3974306285381317,0.21319793164730072
mHO0_,0.39424946904182434,0.3114655315876007
mHO1_,0.6951230764389038,0.6726297736167908
mHO2_,0.3961339294910431,0.3133077025413513
mHO3_,0.10370146483182907,0.11181618273258209
mHO4_,0.48483017086982727,0.19018074870109558
mHO5_,0.09477947652339935,0.3507024645805359
mJB0_,0.18757301568984985,0.14485615491867065
mJB1_,0.07612294703722,0.28344693779945374
mJB2_,0.24710944294929504,0.21694821119308472
mJB3_,0.10059108585119247,0.2929588258266449
mJB4_,0.5893170833587646,0.41819503903388977
mJB5_,0.0950746163725853,0.38338276743888855
mJS0_,0.5697241425514221,0.2384364902973175
mJS1_,0.6014153361320496,0.4261757433414459
mJS2_,0.32116463780403137,0.2667502760887146
mJS3_,0.5532107949256897,0.2904096245765686
mJS4_,0.5623261332511902,0.2987343966960907
mJS5_,0.1709987372159958,0.3051421046257019
mKR0_,0.15157604217529297,0.34611085057258606
mKR1_,0.5177887082099915,0.6861036419868469
mKR2_,0.27569928765296936,0.25477221608161926
mKR3_,0.13499099016189575,0.464064359664917
mKR4_,0.719948410987854,0.4359428882598877
mKR5_,0.2412116378545761,0.2701900899410248
mLH0_,0.219193235039711,0.37664154171943665
mLH1_,0.1745503544807434,0.1979483813047409
mLH2_,0.3340039551258087,0.4476996660232544
mLH3_,0.22835826873779297,0.38257870078086853
mLH4_,0.157115176320076,0.723899781703949
mLH5_,0.20697849988937378,0.40764519572257996
mLO0_,0.17602099478244781,0.33637750148773193
mLO1_,0.09836265444755554,0.11829552799463272
mLO2_,0.30040329694747925,0.2748592495918274
mLO3_,0.4857240617275238,0.378379762172699
mLO4_,0.5815945863723755,0.5536317229270935
mLO5_,0.07242593169212341,0.2124990075826645
mMH0_,0.12111009657382965,0.28142014145851135
mMH1_,0.11155843734741211,0.3052397072315216
mMH2_,0.3427676558494568,0.3070090115070343
mMH3_,0.10343556851148605,0.4011819362640381
mMH4_,0.610441267490387,0.8158489465713501
mMH5_,0.5380057096481323,0.4038141071796417
mPO0_,0.33111077547073364,0.32241371273994446
mPO1_,0.21573664247989655,0.5177602767944336
mPO2_,0.19384996592998505,0.5486670136451721
mPO3_,0.23069994151592255,0.3021911680698395
mPO4_,0.3041097819805145,0.26677393913269043
mPO5_,0.2462034374475479,0.3136034309864044
mWA0_,0.18126899003982544,0.21324209868907928
mWA1_,0.6445629000663757,0.5821064710617065
mWA2_,0.23385171592235565,0.24023863673210144
mWA3_,0.11288846284151077,0.38208645582199097
mWA4_,0.22077223658561707,0.364874929189682
mWA5_,0.2325592041015625,0.22105439007282257
