track,exp02_jerk,exp06b_jerk
mBR0_,0.26826322078704834,0.34499800205230713
mBR1_,0.22354839742183685,0.4891105592250824
mBR2_,0.10036304593086243,0.5999199748039246
mBR3_,0.35077986121177673,0.38421183824539185
mBR4_,0.11467304080724716,0.26130005717277527
mBR5_,0.3974306285381317,0.744366466999054
mHO0_,0.39424946904182434,0.231581911444664
mHO1_,0.6951230764389038,0.2825746536254883
mHO2_,0.3961339294910431,0.16928088665008545
mHO3_,0.10370146483182907,0.5614932179450989
mHO4_,0.48483017086982727,0.4033943712711334
mHO5_,0.09477947652339935,0.5969259738922119
mJB0_,0.18757301568984985,0.4593745768070221
mJB1_,0.07612294703722,0.29116350412368774
mJB2_,0.24710944294929504,0.24322789907455444
mJB3_,0.10059108585119247,0.746900737285614
mJB4_,0.5893170833587646,0.4081188440322876
mJB5_,0.0950746163725853,0.4113425016403198
mJS0_,0.5697241425514221,0.6108779311180115
mJS1_,0.6014153361320496,0.6303730607032776
mJS2_,0.32116463780403137,0.28340449929237366
mJS3_,0.5532107949256897,0.3335378170013428
mJS4_,0.5623261332511902,0.4778697192668915
mJS5_,0.1709987372159958,0.4339323043823242
mKR0_,0.15157604217529297,0.23165127635002136
mKR1_,0.5177887082099915,0.47449222207069397
mKR2_,0.27569928765296936,0.24422983825206757
mKR3_,0.13499099016189575,0.4661521017551422
mKR4_,0.719948410987854,0.15077728033065796
mKR5_,0.2412116378545761,0.1960868388414383
mLH0_,0.219193235039711,0.6786060929298401
mLH1_,0.1745503544807434,0.3258032202720642
mLH2_,0.3340039551258087,0.22060884535312653
mLH3_,0.22835826873779297,0.26796042919158936
mLH4_,0.157115176320076,0.6669076681137085
mLH5_,0.20697849988937378,0.22576826810836792
mLO0_,0.17602099478244781,0.4959452748298645
mLO1_,0.09836265444755554,0.2551037669181824
mLO2_,0.30040329694747925,0.4853883981704712
mLO3_,0.4857240617275238,0.3907509744167328
mLO4_,0.5815945863723755,0.3617861866950989
mLO5_,0.07242593169212341,0.24012510478496552
mMH0_,0.12111009657382965,0.31140193343162537
mMH1_,0.11155843734741211,0.2917449474334717
mMH2_,0.3427676558494568,0.5064221024513245
mMH3_,0.10343556851148605,0.26676544547080994
mMH4_,0.610441267490387,0.353181391954422
mMH5_,0.5380057096481323,0.4444524049758911
mPO0_,0.33111077547073364,0.4092932343482971
mPO1_,0.21573664247989655,0.3096986711025238
mPO2_,0.19384996592998505,0.25135451555252075
mPO3_,0.23069994151592255,0.40752506256103516
mPO4_,0.3041097819805145,0.2876039445400238
mPO5_,0.2462034374475479,0.3458579480648041
mWA0_,0.18126899003982544,0.3627859055995941
mWA1_,0.6445629000663757,0.5053225159645081
mWA2_,0.23385171592235565,0.25626182556152344
mWA3_,0.11288846284151077,0.4846349060535431
mWA4_,0.22077223658561707,0.24878427386283875
mWA5_,0.2325592041015625,0.4900013506412506
