track,exp01_corr,exp01_lag,lam_0p03_corr,lam_0p03_lag
mBR0_,0.23437993104158522,-6,0.1557346465325152,-5
mBR1_,0.2346831841216211,14,0.1260753676027959,-8
mBR2_,0.22381584648384922,-14,0.15106351904434479,-8
mBR3_,0.1640318785842932,-12,0.19849235672016508,-2
mBR4_,0.07878746810646496,-11,0.22838106060194932,5
mBR5_,0.09232236893983728,-2,0.1474941223542435,-11
mHO0_,0.09774104325201173,5,0.12107479728060466,14
mHO1_,0.12430834268769111,11,0.19697554985513616,-15
mHO2_,0.1537183043628782,-7,0.20353098081837404,13
mHO3_,0.12972525225785528,10,0.1766443581515391,12
mHO4_,0.07596245021347457,0,0.25381390951043764,-5
mHO5_,0.13337289850733156,-5,0.29079501574089334,12
mJB0_,0.07134692888198953,15,0.1670412466567396,-15
mJB1_,0.07108580338955624,-8,0.18959460380196957,-3
mJB2_,0.18612706035588922,14,0.2770782586824014,11
mJB3_,0.2716165357469251,11,0.1592606157911193,-4
mJB4_,0.14436105416088185,7,0.1713219060218772,10
mJB5_,0.1319291570979775,6,0.09670085913833822,-12
mJS0_,0.07759018063049576,-9,0.2004199840465998,9
mJS1_,0.19767169337559792,2,0.2855662704079725,-6
mJS2_,0.17923243673782716,-15,0.24464610448223884,-5
mJS3_,0.11358346376497828,13,0.14427142300058662,14
mJS4_,0.1186264407326901,-1,0.1396852135646552,10
mJS5_,0.15432778475456077,13,0.07337308266050009,-1
mKR0_,0.08305267342825114,-15,0.2360188249125136,-13
mKR1_,0.10387868638480673,-6,0.2663009370211995,14
mKR2_,0.0740040640198312,-2,0.09115838571582843,0
mKR3_,0.19966768844990077,-8,0.17483878531934735,8
mKR4_,0.11841722479925489,15,0.11991640756088003,-11
mKR5_,0.12642306147856971,-1,0.1474355601448835,5
mLH0_,0.17027425919249575,-7,0.1358436742912674,-7
mLH1_,0.4514060812820605,11,0.14982452506457802,-11
mLH2_,0.12418829275208403,15,0.08537197161558263,13
mLH3_,0.16805413237366276,13,0.1744602861371913,5
mLH4_,0.07963502127171843,3,0.2061370879471755,10
mLH5_,0.23780964708893318,5,0.2140916518891531,13
mLO0_,0.17277283282013348,-12,0.20508185152375422,-10
mLO1_,0.20315990694766586,-7,0.20918633698660183,-15
mLO2_,0.11292783147913094,-6,0.25990844516538203,9
mLO3_,0.14698448087335883,1,0.22419693690234913,4
mLO4_,0.10847151978059151,-15,0.20453726249319126,-7
mLO5_,0.12741628007007677,-7,0.07040464790017366,9
mMH0_,0.10948626245422524,10,0.1596055663674689,-12
mMH1_,0.20791362799585228,-8,0.2760499206050516,12
mMH2_,0.21685908271042173,-13,0.18370393246140485,-14
mMH3_,0.21906099378820537,2,0.14933761673600784,10
mMH4_,0.10638683831642565,13,0.16600076909339784,-7
mMH5_,0.18710470493907222,14,0.12899758586910243,-13
mPO0_,0.16615130410631682,-12,0.13058067040845703,-11
mPO1_,0.2392794960256461,-2,0.43554968943873323,15
mPO2_,0.1239715505062076,5,0.16635220327740308,-11
mPO3_,0.2509607504414746,11,0.340768615169157,12
mPO4_,0.07555427912493783,-2,0.16325313578583725,-8
mPO5_,0.16756604846238973,-1,0.2211157680829413,7
mWA0_,0.26108639240042675,-15,0.11721642329414028,-15
mWA1_,0.1745763336713924,-3,0.19316347235256204,11
mWA2_,0.17010501863064034,3,0.12814176708448904,-11
mWA3_,0.24734114126885673,13,0.15779585855236172,-11
mWA4_,0.09629804914683607,14,0.2497546966849148,-5
mWA5_,0.018154755202830702,5,0.14881495116003599,-12
