track,exp04_jerk,exp06a_jerk
mBR0_,0.31096237897872925,0.26228341460227966
mBR1_,0.4250471591949463,0.2260979861021042
mBR2_,0.3545035421848297,0.34087905287742615
mBR3_,0.7426811456680298,0.3659500181674957
mBR4_,0.39544880390167236,0.5700473785400391
mBR5_,0.3917386829853058,0.42642539739608765
mHO0_,0.5178142786026001,0.22647280991077423
mHO1_,0.4736221134662628,0.37210193276405334
mHO2_,0.2191564291715622,0.18947000801563263
mHO3_,0.629839301109314,0.6997523307800293
mHO4_,0.29097527265548706,0.33772334456443787
mHO5_,0.20371952652931213,0.34102070331573486
mJB0_,0.2011791616678238,0.2613641619682312
mJB1_,0.26657021045684814,0.49484533071517944
mJB2_,0.4311045706272125,0.4513528048992157
mJB3_,0.22348998486995697,0.2824724614620209
mJB4_,0.4708748161792755,0.3440229594707489
mJB5_,0.29211774468421936,0.33676260709762573
mJS0_,0.2223796248435974,0.44015467166900635
mJS1_,0.43543124198913574,0.4107721447944641
mJS2_,0.33185437321662903,0.5275509357452393
mJS3_,0.409380704164505,0.38450294733047485
mJS4_,0.21969227492809296,0.3249097466468811
mJS5_,0.2640877962112427,0.2709719240665436
mKR0_,0.2767878472805023,0.3584294319152832
mKR1_,0.22866027057170868,0.234444722533226
mKR2_,0.2738558053970337,0.34319236874580383
mKR3_,0.2553293704986572,0.39614707231521606
mKR4_,0.2827436923980713,0.3081665337085724
mKR5_,0.22119659185409546,0.2052900195121765
mLH0_,0.2963038980960846,0.3833412230014801
mLH1_,0.23738552629947662,0.2715601623058319
mLH2_,0.1986018568277359,0.3116941452026367
mLH3_,0.1492505967617035,0.3204503357410431
mLH4_,0.38958609104156494,0.45387253165245056
mLH5_,0.2399628758430481,0.4278653860092163
mLO0_,0.8893836140632629,0.2719375789165497
mLO1_,0.34005311131477356,0.2591455280780792
mLO2_,0.34529462456703186,0.26541054248809814
mLO3_,0.30895528197288513,0.27947622537612915
mLO4_,0.3586282730102539,0.33496907353401184
mLO5_,0.27145275473594666,0.2908017933368683
mMH0_,0.2224351018667221,0.30331674218177795
mMH1_,0.26900508999824524,0.3542872965335846
mMH2_,0.3040604889392853,0.25794005393981934
mMH3_,0.30888107419013977,0.5881959199905396
mMH4_,0.687446653842926,0.35351407527923584
mMH5_,0.29044610261917114,0.2822658121585846
mPO0_,0.3756920397281647,0.7880650162696838
mPO1_,0.2794572114944458,0.2924954891204834
mPO2_,0.401437371969223,0.3365044891834259
mPO3_,0.21762390434741974,0.47707998752593994
mPO4_,0.3045981824398041,0.364721417427063
mPO5_,0.2018056958913803,0.2515413463115692
mWA0_,0.2804674208164215,0.42432141304016113
mWA1_,0.3914421796798706,0.39259716868400574
mWA2_,0.19924284517765045,0.2876899242401123
mWA3_,0.910507321357727,0.7601745128631592
mWA4_,0.21876011788845062,0.3686046898365021
mWA5_,0.2781177759170532,0.3254268169403076
