track,exp01_corr,exp01_lag,lam_0p05_corr,lam_0p05_lag
mBR0_,0.23437993104158522,-6,0.10925804296079863,-15
mBR1_,0.2346831841216211,14,0.16598304113118437,8
mBR2_,0.22381584648384922,-14,0.13739877571287018,-11
mBR3_,0.1640318785842932,-12,0.1662489194893431,5
mBR4_,0.07878746810646496,-11,0.33399746695092564,14
mBR5_,0.09232236893983728,-2,0.13235041702187544,11
mHO0_,0.09774104325201173,5,0.14691500526362447,13
mHO1_,0.12430834268769111,11,0.17520451789257205,1
mHO2_,0.1537183043628782,-7,0.16351471496905468,8
mHO3_,0.12972525225785528,10,0.3346930938539593,12
mHO4_,0.07596245021347457,0,0.1449199851888864,-13
mHO5_,0.13337289850733156,-5,0.27493351285309864,9
mJB0_,0.07134692888198953,15,0.15148160591177837,-5
mJB1_,0.07108580338955624,-8,0.3942258883834375,-8
mJB2_,0.18612706035588922,14,0.23779742759856626,-7
mJB3_,0.2716165357469251,11,0.3151155405036615,-3
mJB4_,0.14436105416088185,7,0.2628448875268048,-5
mJB5_,0.1319291570979775,6,0.10496602825748975,6
mJS0_,0.07759018063049576,-9,0.171628550534166,-6
mJS1_,0.19767169337559792,2,0.251657491464736,11
mJS2_,0.17923243673782716,-15,0.18343254870249348,9
mJS3_,0.11358346376497828,13,0.21615115927247433,2
mJS4_,0.1186264407326901,-1,0.10956090800805793,10
mJS5_,0.15432778475456077,13,0.11333258587833975,6
mKR0_,0.08305267342825114,-15,0.11874559072500838,-9
mKR1_,0.10387868638480673,-6,0.09265393123283498,15
mKR2_,0.0740040640198312,-2,0.21611361735902684,0
mKR3_,0.19966768844990077,-8,0.36175043988007854,6
mKR4_,0.11841722479925489,15,0.25766050271238605,-5
mKR5_,0.12642306147856971,-1,0.1862843229594855,-7
mLH0_,0.17027425919249575,-7,0.41338647651995547,-3
mLH1_,0.4514060812820605,11,0.14111511147062614,-3
mLH2_,0.12418829275208403,15,0.06507274348864282,-8
mLH3_,0.16805413237366276,13,0.11348472132278951,-8
mLH4_,0.07963502127171843,3,0.2038741476913522,10
mLH5_,0.23780964708893318,5,0.20240729782797554,13
mLO0_,0.17277283282013348,-12,0.08458148507870915,-4
mLO1_,0.20315990694766586,-7,0.07748032993210804,-6
mLO2_,0.11292783147913094,-6,0.22681114403935956,-1
mLO3_,0.14698448087335883,1,0.18883029561128553,13
mLO4_,0.10847151978059151,-15,0.10923268192258527,13
mLO5_,0.12741628007007677,-7,0.16785697471379954,13
mMH0_,0.10948626245422524,10,0.09934883022642008,-6
mMH1_,0.20791362799585228,-8,0.23216570388145574,-7
mMH2_,0.21685908271042173,-13,0.15032140564693205,-15
mMH3_,0.21906099378820537,2,0.12437151555308455,-13
mMH4_,0.10638683831642565,13,0.20979049030775943,-7
mMH5_,0.18710470493907222,14,0.162775543052357,4
mPO0_,0.16615130410631682,-12,0.141275785422271,11
mPO1_,0.2392794960256461,-2,0.16886868707459068,-5
mPO2_,0.1239715505062076,5,0.1973283580770714,6
mPO3_,0.2509607504414746,11,0.3803052549927037,13
mPO4_,0.07555427912493783,-2,0.18557035934809252,-7
mPO5_,0.16756604846238973,-1,0.11681252354131123,15
mWA0_,0.26108639240042675,-15,0.19817350161206554,-5
mWA1_,0.1745763336713924,-3,0.10772140033690131,14
mWA2_,0.17010501863064034,3,0.18696409971535127,-10
mWA3_,0.24734114126885673,13,0.26089100147991406,-11
mWA4_,0.09629804914683607,14,0.19153238413919008,6
mWA5_,0.018154755202830702,5,0.17585909132414626,13
