track,exp01_jerk,exp10_jerk
mBR0_,0.13391800224781036,0.1898254156112671
mBR1_,0.14330001175403595,0.1689738631248474
mBR2_,0.1885818988084793,0.17263346910476685
mBR3_,0.3256719708442688,0.20435190200805664
mBR4_,0.17588961124420166,0.12910377979278564
mBR5_,0.14140760898590088,0.35759231448173523
mHO0_,0.1334262639284134,0.2565491199493408
mHO1_,0.32116690278053284,0.45986029505729675
mHO2_,0.46853959560394287,0.14323365688323975
mHO3_,0.2720448970794678,0.24130311608314514
mHO4_,0.08573742210865021,0.13320539891719818
mHO5_,0.18903197348117828,0.2078782618045807
mJB0_,0.17767660319805145,0.16633664071559906
mJB1_,0.06365793198347092,0.11537214368581772
mJB2_,0.512076735496521,0.3820904791355133
mJB3_,0.3586159646511078,0.2798299789428711
mJB4_,0.11216393113136292,0.1417132019996643
mJB5_,0.14271339774131775,0.13295605778694153
mJS0_,0.23255857825279236,0.2108108252286911
mJS1_,0.42433950304985046,0.1330052763223648
mJS2_,0.141336590051651,0.23700553178787231
mJS3_,0.3346823751926422,0.17212098836898804
mJS4_,0.2096044272184372,0.4265020489692688
mJS5_,0.22228269279003143,0.1782929003238678
mKR0_,0.20696976780891418,0.21993966400623322
mKR1_,0.17440596222877502,0.10953595489263535
mKR2_,0.1944143921136856,0.16823658347129822
mKR3_,0.2282102406024933,0.17771470546722412
mKR4_,0.1128145307302475,0.18875427544116974
mKR5_,0.1132115051150322,0.19748395681381226
mLH0_,0.13718469440937042,0.45599251985549927
mLH1_,0.21343573927879333,0.18245850503444672
mLH2_,0.1582031548023224,0.18851681053638458
mLH3_,0.14992637932300568,0.4993228018283844
mLH4_,0.15540890395641327,0.19462773203849792
mLH5_,0.14790010452270508,0.24621838331222534
mLO0_,0.16241559386253357,0.3891041576862335
mLO1_,0.3141001760959625,0.3395262360572815
mLO2_,0.22353419661521912,0.26422372460365295
mLO3_,0.193126380443573,0.18131764233112335
mLO4_,0.20705191791057587,0.17537634074687958
mLO5_,0.13880756497383118,0.24974413216114044
mMH0_,0.12560251355171204,0.21119356155395508
mMH1_,0.2929946780204773,0.16594406962394714
mMH2_,0.18524910509586334,0.1737743318080902
mMH3_,0.23495084047317505,0.2286098748445511
mMH4_,0.17800532281398773,0.13520729541778564
mMH5_,0.3618476390838623,0.12527595460414886
mPO0_,0.13338230550289154,0.1613425314426422
mPO1_,0.15162809193134308,0.19908946752548218
mPO2_,0.2917272746562958,0.15383872389793396
mPO3_,0.5826647281646729,0.22137856483459473
mPO4_,0.21039122343063354,0.20503033697605133
mPO5_,0.2059849202632904,0.20000240206718445
mWA0_,0.21238963305950165,0.19539125263690948
mWA1_,0.1610599160194397,0.1821102499961853
mWA2_,0.24186909198760986,0.14928652346134186
mWA3_,0.19285887479782104,0.21773028373718262
mWA4_,0.13122975826263428,0.10248450189828873
mWA5_,0.08988974243402481,0.18291610479354858
