track,exp01_corr,exp01_lag,exp08_corr,exp08_lag
mBR0_,0.23437993104158522,-6,0.18063129032012754,-8
mBR1_,0.2346831841216211,14,0.1830894012245667,-6
mBR2_,0.22381584648384922,-14,0.20062246500298891,-13
mBR3_,0.1640318785842932,-12,0.12905406650471232,3
mBR4_,0.07878746810646496,-11,0.14231525157595196,-13
mBR5_,0.09232236893983728,-2,0.13358939896107663,13
mHO0_,0.09774104325201173,5,0.12400168383402863,-9
mHO1_,0.12430834268769111,11,0.22984376001157747,-3
mHO2_,0.1537183043628782,-7,0.19362813551725222,-1
mHO3_,0.12972525225785528,10,0.10044458784946911,-12
mHO4_,0.07596245021347457,0,0.0972699885180526,2
mHO5_,0.13337289850733156,-5,0.17089662996313995,2
mJB0_,0.07134692888198953,15,0.1563506169609972,8
mJB1_,0.07108580338955624,-8,0.2229637494794396,-8
mJB2_,0.18612706035588922,14,0.1729696965430202,5
mJB3_,0.2716165357469251,11,0.38300908254966054,11
mJB4_,0.14436105416088185,7,0.20423465967053225,15
mJB5_,0.1319291570979775,6,0.29710879779591637,-4
mJS0_,0.07759018063049576,-9,0.1376385394043704,-5
mJS1_,0.19767169337559792,2,0.20159916585217927,-10
mJS2_,0.17923243673782716,-15,0.17039464634727577,15
mJS3_,0.11358346376497828,13,0.244546108762004,-14
mJS4_,0.1186264407326901,-1,0.18342694350388586,3
mJS5_,0.15432778475456077,13,0.15420980861899072,15
mKR0_,0.08305267342825114,-15,0.14644643355359824,4
mKR1_,0.10387868638480673,-6,0.2144987032992246,13
mKR2_,0.0740040640198312,-2,0.19795998575659057,4
mKR3_,0.19966768844990077,-8,0.18402313081143845,4
mKR4_,0.11841722479925489,15,0.23537326276896328,13
mKR5_,0.12642306147856971,-1,0.10530636763500262,8
mLH0_,0.17027425919249575,-7,0.3281121693639455,14
mLH1_,0.4514060812820605,11,0.21701158354868505,-3
mLH2_,0.12418829275208403,15,0.25658032766821837,-12
mLH3_,0.16805413237366276,13,0.2041030869688115,-2
mLH4_,0.07963502127171843,3,0.23636779999113727,-14
mLH5_,0.23780964708893318,5,0.38846787722568465,11
mLO0_,0.17277283282013348,-12,0.19221026921580792,-13
mLO1_,0.20315990694766586,-7,0.10946021740717855,-4
mLO2_,0.11292783147913094,-6,0.09721944122058951,9
mLO3_,0.14698448087335883,1,0.24041419269843933,-3
mLO4_,0.10847151978059151,-15,0.2107815386659724,-8
mLO5_,0.12741628007007677,-7,0.1451569594514031,-1
mMH0_,0.10948626245422524,10,0.13031681673466033,4
mMH1_,0.20791362799585228,-8,0.167087196399561,1
mMH2_,0.21685908271042173,-13,0.14293193437188026,2
mMH3_,0.21906099378820537,2,0.25875006651930177,-14
mMH4_,0.10638683831642565,13,0.09782293671072585,-5
mMH5_,0.18710470493907222,14,0.22230293748218038,-4
mPO0_,0.16615130410631682,-12,0.23877574902660909,15
mPO1_,0.2392794960256461,-2,0.2258769222788464,-4
mPO2_,0.1239715505062076,5,0.2652824581238698,-12
mPO3_,0.2509607504414746,11,0.22315882123045297,15
mPO4_,0.07555427912493783,-2,0.14712914350341055,9
mPO5_,0.16756604846238973,-1,0.05873335240437314,-5
mWA0_,0.26108639240042675,-15,0.1637528817512091,-5
mWA1_,0.1745763336713924,-3,0.21532240223175222,5
mWA2_,0.17010501863064034,3,0.22578193188440798,7
mWA3_,0.24734114126885673,13,0.2575345484129924,9
mWA4_,0.09629804914683607,14,0.2546124419354448,14
mWA5_,0.018154755202830702,5,0.12176909787914969,-4
