track,exp01_jerk,exp07_jerk
mBR0_,0.13391800224781036,0.2332911640405655
mBR1_,0.14330001175403595,0.4679241478443146
mBR2_,0.1885818988084793,0.5044140815734863
mBR3_,0.3256719708442688,0.4065150022506714
mBR4_,0.17588961124420166,0.40024077892303467
mBR5_,0.14140760898590088,0.3753339946269989
mHO0_,0.1334262639284134,0.7351134419441223
mHO1_,0.32116690278053284,0.34409892559051514
mHO2_,0.46853959560394287,0.41668418049812317
mHO3_,0.2720448970794678,0.39857393503189087
mHO4_,0.08573742210865021,0.3818467855453491
mHO5_,0.18903197348117828,0.437257319688797
mJB0_,0.17767660319805145,0.29691362380981445
mJB1_,0.06365793198347092,0.433605432510376
mJB2_,0.512076735496521,0.3570622503757477
mJB3_,0.3586159646511078,0.4602961242198944
mJB4_,0.11216393113136292,0.4798907935619354
mJB5_,0.14271339774131775,0.3431088626384735
mJS0_,0.23255857825279236,0.32145753502845764
mJS1_,0.42433950304985046,0.5341742634773254
mJS2_,0.141336590051651,0.39623352885246277
mJS3_,0.3346823751926422,0.3839308023452759
mJS4_,0.2096044272184372,0.29597121477127075
mJS5_,0.22228269279003143,0.4047081768512726
mKR0_,0.20696976780891418,0.3287408947944641
mKR1_,0.17440596222877502,0.2682144343852997
mKR2_,0.1944143921136856,0.2796422243118286
mKR3_,0.2282102406024933,0.4678616225719452
mKR4_,0.1128145307302475,0.27085524797439575
mKR5_,0.1132115051150322,0.28943049907684326
mLH0_,0.13718469440937042,0.24322089552879333
mLH1_,0.21343573927879333,0.5464684367179871
mLH2_,0.1582031548023224,0.5296297669410706
mLH3_,0.14992637932300568,0.2658373713493347
mLH4_,0.15540890395641327,0.33057501912117004
mLH5_,0.14790010452270508,0.3800352215766907
mLO0_,0.16241559386253357,0.3292846083641052
mLO1_,0.3141001760959625,0.26239919662475586
mLO2_,0.22353419661521912,0.38685864210128784
mLO3_,0.193126380443573,0.3650509715080261
mLO4_,0.20705191791057587,0.4308793246746063
mLO5_,0.13880756497383118,0.36183902621269226
mMH0_,0.12560251355171204,0.3212117850780487
mMH1_,0.2929946780204773,0.3606668710708618
mMH2_,0.18524910509586334,0.3928889036178589
mMH3_,0.23495084047317505,0.35025814175605774
mMH4_,0.17800532281398773,0.3185449540615082
mMH5_,0.3618476390838623,0.305966317653656
mPO0_,0.13338230550289154,0.33499956130981445
mPO1_,0.15162809193134308,0.500933825969696
mPO2_,0.2917272746562958,0.40625306963920593
mPO3_,0.5826647281646729,0.276363343000412
mPO4_,0.21039122343063354,0.3713447153568268
mPO5_,0.2059849202632904,0.37187835574150085
mWA0_,0.21238963305950165,0.34700265526771545
mWA1_,0.1610599160194397,0.5485719442367554
mWA2_,0.24186909198760986,0.3412055969238281
mWA3_,0.19285887479782104,0.5136728286743164
mWA4_,0.13122975826263428,0.462950736284256
mWA5_,0.08988974243402481,0.6214063167572021
