track,exp01_jerk,exp11_jerk
mBR0_,0.13391800224781036,0.36714786291122437
mBR1_,0.14330001175403595,0.19942638278007507
mBR2_,0.1885818988084793,0.4138467609882355
mBR3_,0.3256719708442688,0.23097610473632812
mBR4_,0.17588961124420166,0.1724269837141037
mBR5_,0.14140760898590088,0.23780350387096405
mHO0_,0.1334262639284134,0.35619914531707764
mHO1_,0.32116690278053284,0.48031678795814514
mHO2_,0.46853959560394287,0.2475549578666687
mHO3_,0.2720448970794678,0.5904442071914673
mHO4_,0.08573742210865021,0.3377744257450104
mHO5_,0.18903197348117828,0.20560720562934875
mJB0_,0.17767660319805145,0.335678368806839
mJB1_,0.06365793198347092,0.9517272114753723
mJB2_,0.512076735496521,0.2605656087398529
mJB3_,0.3586159646511078,0.3301897943019867
mJB4_,0.11216393113136292,0.15476815402507782
mJB5_,0.14271339774131775,0.3952389061450958
mJS0_,0.23255857825279236,0.2505408227443695
mJS1_,0.42433950304985046,0.32905957102775574
mJS2_,0.141336590051651,0.4574337303638458
mJS3_,0.3346823751926422,0.34993329644203186
mJS4_,0.2096044272184372,0.13861122727394104
mJS5_,0.22228269279003143,0.5790956616401672
mKR0_,0.20696976780891418,0.24525146186351776
mKR1_,0.17440596222877502,0.2601620554924011
mKR2_,0.1944143921136856,0.35106316208839417
mKR3_,0.2282102406024933,0.34987571835517883
mKR4_,0.1128145307302475,0.4575514495372772
mKR5_,0.1132115051150322,0.2754864990711212
mLH0_,0.13718469440937042,0.4642490744590759
mLH1_,0.21343573927879333,0.2788791358470917
mLH2_,0.1582031548023224,0.23398947715759277
mLH3_,0.14992637932300568,0.2714172899723053
mLH4_,0.15540890395641327,0.2330450415611267
mLH5_,0.14790010452270508,0.2530002295970917
mLO0_,0.16241559386253357,0.5272613167762756
mLO1_,0.3141001760959625,0.21993741393089294
mLO2_,0.22353419661521912,0.3231905698776245
mLO3_,0.193126380443573,0.45495933294296265
mLO4_,0.20705191791057587,0.2775009572505951
mLO5_,0.13880756497383118,0.38881492614746094
mMH0_,0.12560251355171204,0.20203545689582825
mMH1_,0.2929946780204773,0.23598253726959229
mMH2_,0.18524910509586334,0.14408911764621735
mMH3_,0.23495084047317505,0.29001525044441223
mMH4_,0.17800532281398773,0.40848660469055176
mMH5_,0.3618476390838623,0.2747057378292084
mPO0_,0.13338230550289154,0.2942351996898651
mPO1_,0.15162809193134308,0.42329007387161255
mPO2_,0.2917272746562958,0.26092809438705444
mPO3_,0.5826647281646729,0.18444344401359558
mPO4_,0.21039122343063354,0.14263182878494263
mPO5_,0.2059849202632904,0.22353923320770264
mWA0_,0.21238963305950165,0.3275079131126404
mWA1_,0.1610599160194397,0.48644593358039856
mWA2_,0.24186909198760986,0.7961743474006653
mWA3_,0.19285887479782104,0.2532519996166229
mWA4_,0.13122975826263428,0.23806791007518768
mWA5_,0.08988974243402481,0.2608036398887634
