track,exp01_jerk,lam_0p05_jerk
mBR0_,0.13391800224781036,0.3663313090801239
mBR1_,0.14330001175403595,0.18936826288700104
mBR2_,0.1885818988084793,0.34776145219802856
mBR3_,0.3256719708442688,0.23752222955226898
mBR4_,0.17588961124420166,0.34855419397354126
mBR5_,0.14140760898590088,0.6238645315170288
mHO0_,0.1334262639284134,0.2986794412136078
mHO1_,0.32116690278053284,0.4135191738605499
mHO2_,0.46853959560394287,0.18108601868152618
mHO3_,0.2720448970794678,0.39546674489974976
mHO4_,0.08573742210865021,0.4532403349876404
mHO5_,0.18903197348117828,0.370362788438797
mJB0_,0.17767660319805145,0.12752746045589447
mJB1_,0.06365793198347092,0.5062595009803772
mJB2_,0.512076735496521,0.2952239513397217
mJB3_,0.3586159646511078,0.3583577871322632
mJB4_,0.11216393113136292,0.4085860848426819
mJB5_,0.14271339774131775,0.1874314844608307
mJS0_,0.23255857825279236,0.27640363574028015
mJS1_,0.42433950304985046,0.31241104006767273
mJS2_,0.141336590051651,0.1390131413936615
mJS3_,0.3346823751926422,0.3072305917739868
mJS4_,0.2096044272184372,0.229183167219162
mJS5_,0.22228269279003143,0.3559419810771942
mKR0_,0.20696976780891418,0.3218579590320587
mKR1_,0.17440596222877502,0.3202159106731415
mKR2_,0.1944143921136856,0.38321971893310547
mKR3_,0.2282102406024933,0.3178543746471405
mKR4_,0.1128145307302475,0.4132082760334015
mKR5_,0.1132115051150322,0.25008490681648254
mLH0_,0.13718469440937042,0.3326621949672699
mLH1_,0.21343573927879333,0.20021679997444153
mLH2_,0.1582031548023224,0.24530379474163055
mLH3_,0.14992637932300568,0.13841083645820618
mLH4_,0.15540890395641327,0.39634519815444946
mLH5_,0.14790010452270508,0.11834217607975006
mLO0_,0.16241559386253357,0.2519686818122864
mLO1_,0.3141001760959625,0.10313037782907486
mLO2_,0.22353419661521912,0.49556171894073486
mLO3_,0.193126380443573,0.14580629765987396
mLO4_,0.20705191791057587,0.20919574797153473
mLO5_,0.13880756497383118,0.5108374357223511
mMH0_,0.12560251355171204,0.2738928198814392
mMH1_,0.2929946780204773,0.7140188217163086
mMH2_,0.18524910509586334,0.3036777675151825
mMH3_,0.23495084047317505,0.6036916971206665
mMH4_,0.17800532281398773,0.4695849120616913
mMH5_,0.3618476390838623,0.19824540615081787
mPO0_,0.13338230550289154,0.3943972885608673
mPO1_,0.15162809193134308,0.26403820514678955
mPO2_,0.2917272746562958,0.23983852565288544
mPO3_,0.5826647281646729,0.447786808013916
mPO4_,0.21039122343063354,0.19107818603515625
mPO5_,0.2059849202632904,0.17234766483306885
mWA0_,0.21238963305950165,0.4694620668888092
mWA1_,0.1610599160194397,0.37914764881134033
mWA2_,0.24186909198760986,0.1913721263408661
mWA3_,0.19285887479782104,0.5656642317771912
mWA4_,0.13122975826263428,0.2338881939649582
mWA5_,0.08988974243402481,0.16010189056396484
