track,exp04_corr,exp04_lag,exp05_corr,exp05_lag
mBR0_,0.11299865882861218,3,0.16474456404363352,12
mBR1_,0.2475214751270894,2,0.16544538439571072,-8
mBR2_,0.13056326029722523,-4,0.12488080173629469,5
mBR3_,0.246220715607585,-12,0.2286509089431133,-2
mBR4_,0.16920637271770583,5,0.1467174789907696,-10
mBR5_,0.14245001768556528,-10,0.09845762443325307,-10
mHO0_,0.2027834393567028,9,0.10312227439052309,-12
mHO1_,0.2529761663854768,2,0.1291221978884833,-5
mHO2_,0.23311967193586663,14,0.184106535679944,12
mHO3_,0.4366133809375844,0,0.23361376972302125,14
mHO4_,0.11643256921622115,-13,0.14994172455252552,-7
mHO5_,0.10901310775548957,0,0.17155494513894026,-10
mJB0_,0.12908030741770493,-15,0.16263418896465273,-4
mJB1_,0.13468110769046904,8,0.16260845060251905,0
mJB2_,0.18414541840059725,10,0.16798790584689535,9
mJB3_,0.20036523546820115,1,0.21839707832578328,-4
mJB4_,0.3663493002194004,-3,0.12615012937018538,-11
mJB5_,0.16036179634373518,-12,0.0750899360581151,13
mJS0_,0.19676658480995804,2,0.27976774874286603,6
mJS1_,0.2582552980408954,10,0.2756224073432842,1
mJS2_,0.2178510433209036,0,0.12729404700475985,-4
mJS3_,0.0977963787663272,7,0.20972582721157365,-14
mJS4_,0.13550570005913276,-12,0.2320487042762855,-13
mJS5_,0.14352124391479243,-12,0.08918340946179423,10
mKR0_,0.1464622592966413,-10,0.1888263625521794,-14
mKR1_,0.09582329341973117,11,0.15156463692028588,-12
mKR2_,0.2723005951425624,-15,0.17601485680773019,-14
mKR3_,0.24951119952546136,0,0.18557972255138352,-11
mKR4_,0.09481998965489465,4,0.07500110581469832,-12
mKR5_,0.11235566499308532,6,0.07870568725117998,-4
mLH0_,0.0970310995182034,10,0.2253090785566167,-11
mLH1_,0.21235394775516625,-2,0.252776568259376,-10
mLH2_,0.015021248908090375,15,0.15502257125778016,15
mLH3_,0.1245964282247283,-14,0.14740429509026204,12
mLH4_,0.15373418724042343,13,0.21351743702783688,-12
mLH5_,0.17104812311452433,10,0.2034130205468824,-10
mLO0_,0.1855881641826124,-13,0.1840571273999904,-7
mLO1_,0.16556126942158253,-3,0.2438738624585553,6
mLO2_,0.19283723110001172,-4,0.1369208860013142,-5
mLO3_,0.11037989047909287,1,0.05965820396271372,-14
mLO4_,0.13133299481950836,7,0.2346738834191407,12
mLO5_,0.12433940882975937,-6,0.12947332132691,4
mMH0_,0.09772218785415987,0,0.10086327565320048,0
mMH1_,0.17645634473139643,-11,0.18652670098502783,13
mMH2_,0.2146542269473298,13,0.17808273939868027,-10
mMH3_,0.11450441243087317,13,0.10503811347157396,1
mMH4_,0.15488828530677123,10,0.39643774957750205,15
mMH5_,0.2343480688990309,6,0.09873776479885842,7
mPO0_,0.3787444583362377,-10,0.2457587190796657,6
mPO1_,0.19474814397280443,-8,0.11076663739112942,-8
mPO2_,0.199231217305251,-2,0.1463049318789358,-7
mPO3_,0.18389633506800515,13,0.15980224326704806,13
mPO4_,0.15336993286444467,-2,0.283360403290819,-15
mPO5_,0.10553679848822209,-7,0.07425981136956256,-9
mWA0_,0.1947845276943271,1,0.12966439388413262,2
mWA1_,0.2051042870667629,2,0.21946120628226184,15
mWA2_,0.12344405844787591,6,0.17375260086741642,-8
mWA3_,0.2669703617663472,10,0.17992701689978727,15
mWA4_,0.09527045670895518,12,0.1770290308004094,6
mWA5_,0.08213925976467641,0,0.07569918457196256,8
