track,exp05_jerk,exp06b_jerk
mBR0_,0.3932528793811798,0.34499800205230713
mBR1_,0.30590441823005676,0.4891105592250824
mBR2_,0.2350723296403885,0.5999199748039246
mBR3_,0.433173805475235,0.38421183824539185
mBR4_,0.18772843480110168,0.26130005717277527
mBR5_,0.5944206714630127,0.744366466999054
mHO0_,0.2577543258666992,0.231581911444664
mHO1_,0.3320295512676239,0.2825746536254883
mHO2_,0.2696371376514435,0.16928088665008545
mHO3_,0.38086405396461487,0.5614932179450989
mHO4_,0.42820271849632263,0.4033943712711334
mHO5_,0.49150973558425903,0.5969259738922119
mJB0_,0.2678285539150238,0.4593745768070221
mJB1_,0.3324895203113556,0.29116350412368774
mJB2_,0.29115185141563416,0.24322789907455444
mJB3_,0.586226761341095,0.746900737285614
mJB4_,0.30290088057518005,0.4081188440322876
mJB5_,0.3514944612979889,0.4113425016403198
mJS0_,0.3562268614768982,0.6108779311180115
mJS1_,0.2930058538913727,0.6303730607032776
mJS2_,0.2640587389469147,0.28340449929237366
mJS3_,0.4957350194454193,0.3335378170013428
mJS4_,0.4961155354976654,0.4778697192668915
mJS5_,0.21713921427726746,0.4339323043823242
mKR0_,0.36922720074653625,0.23165127635002136
mKR1_,0.2793116569519043,0.47449222207069397
mKR2_,0.6737731695175171,0.24422983825206757
mKR3_,0.33329883217811584,0.4661521017551422
mKR4_,0.2204992026090622,0.15077728033065796
mKR5_,0.19168950617313385,0.1960868388414383
mLH0_,0.2996308207511902,0.6786060929298401
mLH1_,0.32459133863449097,0.3258032202720642
mLH2_,0.2704712748527527,0.22060884535312653
mLH3_,0.24166443943977356,0.26796042919158936
mLH4_,0.3640608489513397,0.6669076681137085
mLH5_,0.19198668003082275,0.22576826810836792
mLO0_,0.41160064935684204,0.4959452748298645
mLO1_,0.4238816499710083,0.2551037669181824
mLO2_,0.3138123154640198,0.4853883981704712
mLO3_,0.17609219253063202,0.3907509744167328
mLO4_,0.31315937638282776,0.3617861866950989
mLO5_,0.3475085496902466,0.24012510478496552
mMH0_,0.2376808375120163,0.31140193343162537
mMH1_,0.445070743560791,0.2917449474334717
mMH2_,0.48870745301246643,0.5064221024513245
mMH3_,0.16751962900161743,0.26676544547080994
mMH4_,0.5856320858001709,0.353181391954422
mMH5_,0.29282012581825256,0.4444524049758911
mPO0_,0.7848982810974121,0.4092932343482971
mPO1_,0.29998844861984253,0.3096986711025238
mPO2_,0.293233186006546,0.25135451555252075
mPO3_,0.347425639629364,0.40752506256103516
mPO4_,0.3541495203971863,0.2876039445400238
mPO5_,0.30585572123527527,0.3458579480648041
mWA0_,0.36142414808273315,0.3627859055995941
mWA1_,0.2042064070701599,0.5053225159645081
mWA2_,0.3074781894683838,0.25626182556152344
mWA3_,0.5102863907814026,0.4846349060535431
mWA4_,0.20653961598873138,0.24878427386283875
mWA5_,0.26738789677619934,0.4900013506412506
