track,exp02_jerk,exp06a_jerk
mBR0_,0.26826322078704834,0.26228341460227966
mBR1_,0.22354839742183685,0.2260979861021042
mBR2_,0.10036304593086243,0.34087905287742615
mBR3_,0.35077986121177673,0.3659500181674957
mBR4_,0.11467304080724716,0.5700473785400391
mBR5_,0.3974306285381317,0.42642539739608765
mHO0_,0.39424946904182434,0.22647280991077423
mHO1_,0.6951230764389038,0.37210193276405334
mHO2_,0.3961339294910431,0.18947000801563263
mHO3_,0.10370146483182907,0.6997523307800293
mHO4_,0.48483017086982727,0.33772334456443787
mHO5_,0.09477947652339935,0.34102070331573486
mJB0_,0.18757301568984985,0.2613641619682312
mJB1_,0.07612294703722,0.49484533071517944
mJB2_,0.24710944294929504,0.4513528048992157
mJB3_,0.10059108585119247,0.2824724614620209
mJB4_,0.5893170833587646,0.3440229594707489
mJB5_,0.0950746163725853,0.33676260709762573
mJS0_,0.5697241425514221,0.44015467166900635
mJS1_,0.6014153361320496,0.4107721447944641
mJS2_,0.32116463780403137,0.5275509357452393
mJS3_,0.5532107949256897,0.38450294733047485
mJS4_,0.5623261332511902,0.3249097466468811
mJS5_,0.1709987372159958,0.2709719240665436
mKR0_,0.15157604217529297,0.3584294319152832
mKR1_,0.5177887082099915,0.234444722533226
mKR2_,0.27569928765296936,0.34319236874580383
mKR3_,0.13499099016189575,0.39614707231521606
mKR4_,0.719948410987854,0.3081665337085724
mKR5_,0.2412116378545761,0.2052900195121765
mLH0_,0.219193235039711,0.3833412230014801
mLH1_,0.1745503544807434,0.2715601623058319
mLH2_,0.3340039551258087,0.3116941452026367
mLH3_,0.22835826873779297,0.3204503357410431
mLH4_,0.157115176320076,0.45387253165245056
mLH5_,0.20697849988937378,0.4278653860092163
mLO0_,0.17602099478244781,0.2719375789165497
mLO1_,0.09836265444755554,0.2591455280780792
mLO2_,0.30040329694747925,0.26541054248809814
mLO3_,0.4857240617275238,0.27947622537612915
mLO4_,0.5815945863723755,0.33496907353401184
mLO5_,0.07242593169212341,0.2908017933368683
mMH0_,0.12111009657382965,0.30331674218177795
mMH1_,0.11155843734741211,0.3542872965335846
mMH2_,0.3427676558494568,0.25794005393981934
mMH3_,0.10343556851148605,0.5881959199905396
mMH4_,0.610441267490387,0.35351407527923584
mMH5_,0.5380057096481323,0.2822658121585846
mPO0_,0.33111077547073364,0.7880650162696838
mPO1_,0.21573664247989655,0.2924954891204834
mPO2_,0.19384996592998505,0.3365044891834259
mPO3_,0.23069994151592255,0.47707998752593994
mPO4_,0.3041097819805145,0.364721417427063
mPO5_,0.2462034374475479,0.2515413463115692
mWA0_,0.18126899003982544,0.42432141304016113
mWA1_,0.6445629000663757,0.39259716868400574
mWA2_,0.23385171592235565,0.2876899242401123
mWA3_,0.11288846284151077,0.7601745128631592
mWA4_,0.22077223658561707,0.3686046898365021
mWA5_,0.2325592041015625,0.3254268169403076
