track,exp06a_jerk,exp06b_jerk
mBR0_,0.26228341460227966,0.34499800205230713
mBR1_,0.2260979861021042,0.4891105592250824
mBR2_,0.34087905287742615,0.5999199748039246
mBR3_,0.3659500181674957,0.38421183824539185
mBR4_,0.5700473785400391,0.26130005717277527
mBR5_,0.42642539739608765,0.744366466999054
mHO0_,0.22647280991077423,0.231581911444664
mHO1_,0.37210193276405334,0.2825746536254883
mHO2_,0.18947000801563263,0.16928088665008545
mHO3_,0.6997523307800293,0.5614932179450989
mHO4_,0.33772334456443787,0.4033943712711334
mHO5_,0.34102070331573486,0.5969259738922119
mJB0_,0.2613641619682312,0.4593745768070221
mJB1_,0.49484533071517944,0.29116350412368774
mJB2_,0.4513528048992157,0.24322789907455444
mJB3_,0.2824724614620209,0.746900737285614
mJB4_,0.3440229594707489,0.4081188440322876
mJB5_,0.33676260709762573,0.4113425016403198
mJS0_,0.44015467166900635,0.6108779311180115
mJS1_,0.4107721447944641,0.6303730607032776
mJS2_,0.5275509357452393,0.28340449929237366
mJS3_,0.38450294733047485,0.3335378170013428
mJS4_,0.3249097466468811,0.4778697192668915
mJS5_,0.2709719240665436,0.4339323043823242
mKR0_,0.3584294319152832,0.23165127635002136
mKR1_,0.234444722533226,0.47449222207069397
mKR2_,0.34319236874580383,0.24422983825206757
mKR3_,0.39614707231521606,0.4661521017551422
mKR4_,0.3081665337085724,0.15077728033065796
mKR5_,0.2052900195121765,0.1960868388414383
mLH0_,0.3833412230014801,0.6786060929298401
mLH1_,0.2715601623058319,0.3258032202720642
mLH2_,0.3116941452026367,0.22060884535312653
mLH3_,0.3204503357410431,0.26796042919158936
mLH4_,0.45387253165245056,0.6669076681137085
mLH5_,0.4278653860092163,0.22576826810836792
mLO0_,0.2719375789165497,0.4959452748298645
mLO1_,0.2591455280780792,0.2551037669181824
mLO2_,0.26541054248809814,0.4853883981704712
mLO3_,0.27947622537612915,0.3907509744167328
mLO4_,0.33496907353401184,0.3617861866950989
mLO5_,0.2908017933368683,0.24012510478496552
mMH0_,0.30331674218177795,0.31140193343162537
mMH1_,0.3542872965335846,0.2917449474334717
mMH2_,0.25794005393981934,0.5064221024513245
mMH3_,0.5881959199905396,0.26676544547080994
mMH4_,0.35351407527923584,0.353181391954422
mMH5_,0.2822658121585846,0.4444524049758911
mPO0_,0.7880650162696838,0.4092932343482971
mPO1_,0.2924954891204834,0.3096986711025238
mPO2_,0.3365044891834259,0.25135451555252075
mPO3_,0.47707998752593994,0.40752506256103516
mPO4_,0.364721417427063,0.2876039445400238
mPO5_,0.2515413463115692,0.3458579480648041
mWA0_,0.42432141304016113,0.3627859055995941
mWA1_,0.39259716868400574,0.5053225159645081
mWA2_,0.2876899242401123,0.25626182556152344
mWA3_,0.7601745128631592,0.4846349060535431
mWA4_,0.3686046898365021,0.24878427386283875
mWA5_,0.3254268169403076,0.4900013506412506
