track,exp02_corr,exp02_lag,exp06a_corr,exp06a_lag
mBR0_,0.1494550991895363,9,0.23539239420055164,15
mBR1_,0.12826302294697228,9,0.14511016063927895,-8
mBR2_,0.0692228633990392,-15,0.1272248695363078,5
mBR3_,0.19374067190523833,-11,0.1952545255779896,-9
mBR4_,0.05307138807994811,7,0.12248237227235505,-13
mBR5_,0.2664822473336075,-2,0.12935969317270832,-14
mHO0_,0.17940467925011647,13,0.11468768697243484,12
mHO1_,0.1561367099226121,-15,0.15560320153663001,15
mHO2_,0.2804158405889957,2,0.12371414819361343,-9
mHO3_,0.13692840198390602,-13,0.29453309053213794,11
mHO4_,0.16044873364416978,10,0.21646363288451317,-2
mHO5_,0.05513194263500028,-11,0.16230619066197852,10
mJB0_,0.18708911903430459,3,0.13250020584958142,-7
mJB1_,0.13351133763807244,-9,0.10867047175276631,-6
mJB2_,0.1417688397484001,13,0.4353653787091961,11
mJB3_,0.11765608899305388,14,0.2540205945455076,-13
mJB4_,0.15452419412456958,-6,0.1720920923113656,-15
mJB5_,0.18847990349497823,15,0.11945182122174894,7
mJS0_,0.24692578395432532,0,0.2063864460057656,3
mJS1_,0.1388323646411992,0,0.21602382749577373,-5
mJS2_,0.18851654328561673,4,0.16169712658418142,4
mJS3_,0.18479700189736642,8,0.25240718559565245,-13
mJS4_,0.27312612366471584,7,0.15162459183081664,-5
mJS5_,0.17989020276577194,15,0.1750043780719127,-7
mKR0_,0.05363953004729069,-3,0.1639240311277806,-13
mKR1_,0.14011235417644,-1,0.15831663125988982,3
mKR2_,0.25913189855086416,4,0.26857217810882617,0
mKR3_,0.23461330892750326,-5,0.26018053596869384,2
mKR4_,0.17514989366237543,13,0.13709134159795636,-12
mKR5_,0.12498940673514121,9,0.11423214063673004,-3
mLH0_,0.259974184923307,-8,0.2249945259838417,0
mLH1_,0.13719141638916732,12,0.45560633635503855,-3
mLH2_,0.2875946853022608,0,0.32634393501269404,-6
mLH3_,0.15520752054553408,-10,0.1051444359402607,-8
mLH4_,0.21553124679496333,0,0.18565123770908895,13
mLH5_,0.2710008598980624,-5,0.21140691267047318,-12
mLO0_,0.13938487905500271,11,0.11755231956693214,2
mLO1_,0.08613301127682846,6,0.14356959573668632,-3
mLO2_,0.12094960355282747,-1,0.12589905133970986,-4
mLO3_,0.17231116862113446,-4,0.15414358524794083,8
mLO4_,0.18286623563238105,13,0.10636701407586095,13
mLO5_,0.08723715087605315,-6,0.22235094529586888,2
mMH0_,0.11685321533656468,-10,0.10575352130751742,-12
mMH1_,0.19833941321980497,-15,0.08249847370296559,15
mMH2_,0.2334068585743518,-13,0.09498937280655022,-14
mMH3_,0.13472590140248353,6,0.13379966414649977,13
mMH4_,0.23273531154141683,3,0.1632944449247224,-15
mMH5_,0.2503733098845309,-6,0.10154363280168922,13
mPO0_,0.2034900596835748,-7,0.20469838973819135,13
mPO1_,0.24578853490911107,-14,0.12235317948236894,-11
mPO2_,0.11238300377178433,10,0.14691619683052326,-8
mPO3_,0.15052020913270903,15,0.3022494290638087,-4
mPO4_,0.17254070592784124,-3,0.1383369915310625,3
mPO5_,0.2458657711644623,-15,0.2084813600587578,6
mWA0_,0.18226106321812016,-11,0.15477121427620502,-14
mWA1_,0.19664016578520055,-5,0.15202262249555243,13
mWA2_,0.1896968235221625,-13,0.3112150689734964,4
mWA3_,0.050860653837944095,-13,0.18395990361587924,-13
mWA4_,0.24551304408794436,-4,0.19676944203796526,11
mWA5_,0.16947118642470083,11,0.20413989447281736,7
