track,exp01_corr,exp01_lag,exp06a_corr,exp06a_lag
mBR0_,0.23437993104158522,-6,0.23539239420055164,15
mBR1_,0.2346831841216211,14,0.14511016063927895,-8
mBR2_,0.22381584648384922,-14,0.1272248695363078,5
mBR3_,0.1640318785842932,-12,0.1952545255779896,-9
mBR4_,0.07878746810646496,-11,0.12248237227235505,-13
mBR5_,0.09232236893983728,-2,0.12935969317270832,-14
mHO0_,0.09774104325201173,5,0.11468768697243484,12
mHO1_,0.12430834268769111,11,0.15560320153663001,15
mHO2_,0.1537183043628782,-7,0.12371414819361343,-9
mHO3_,0.12972525225785528,10,0.29453309053213794,11
mHO4_,0.07596245021347457,0,0.21646363288451317,-2
mHO5_,0.13337289850733156,-5,0.16230619066197852,10
mJB0_,0.07134692888198953,15,0.13250020584958142,-7
mJB1_,0.07108580338955624,-8,0.10867047175276631,-6
mJB2_,0.18612706035588922,14,0.4353653787091961,11
mJB3_,0.2716165357469251,11,0.2540205945455076,-13
mJB4_,0.14436105416088185,7,0.1720920923113656,-15
mJB5_,0.1319291570979775,6,0.11945182122174894,7
mJS0_,0.07759018063049576,-9,0.2063864460057656,3
mJS1_,0.19767169337559792,2,0.21602382749577373,-5
mJS2_,0.17923243673782716,-15,0.16169712658418142,4
mJS3_,0.11358346376497828,13,0.25240718559565245,-13
mJS4_,0.1186264407326901,-1,0.15162459183081664,-5
mJS5_,0.15432778475456077,13,0.1750043780719127,-7
mKR0_,0.08305267342825114,-15,0.1639240311277806,-13
mKR1_,0.10387868638480673,-6,0.15831663125988982,3
mKR2_,0.0740040640198312,-2,0.26857217810882617,0
mKR3_,0.19966768844990077,-8,0.26018053596869384,2
mKR4_,0.11841722479925489,15,0.13709134159795636,-12
mKR5_,0.12642306147856971,-1,0.11423214063673004,-3
mLH0_,0.17027425919249575,-7,0.2249945259838417,0
mLH1_,0.4514060812820605,11,0.45560633635503855,-3
mLH2_,0.12418829275208403,15,0.32634393501269404,-6
mLH3_,0.16805413237366276,13,0.1051444359402607,-8
mLH4_,0.07963502127171843,3,0.18565123770908895,13
mLH5_,0.23780964708893318,5,0.21140691267047318,-12
mLO0_,0.17277283282013348,-12,0.11755231956693214,2
mLO1_,0.20315990694766586,-7,0.14356959573668632,-3
mLO2_,0.11292783147913094,-6,0.12589905133970986,-4
mLO3_,0.14698448087335883,1,0.15414358524794083,8
mLO4_,0.10847151978059151,-15,0.10636701407586095,13
mLO5_,0.12741628007007677,-7,0.22235094529586888,2
mMH0_,0.10948626245422524,10,0.10575352130751742,-12
mMH1_,0.20791362799585228,-8,0.08249847370296559,15
mMH2_,0.21685908271042173,-13,0.09498937280655022,-14
mMH3_,0.21906099378820537,2,0.13379966414649977,13
mMH4_,0.10638683831642565,13,0.1632944449247224,-15
mMH5_,0.18710470493907222,14,0.10154363280168922,13
mPO0_,0.16615130410631682,-12,0.20469838973819135,13
mPO1_,0.2392794960256461,-2,0.12235317948236894,-11
mPO2_,0.1239715505062076,5,0.14691619683052326,-8
mPO3_,0.2509607504414746,11,0.3022494290638087,-4
mPO4_,0.07555427912493783,-2,0.1383369915310625,3
mPO5_,0.16756604846238973,-1,0.2084813600587578,6
mWA0_,0.26108639240042675,-15,0.15477121427620502,-14
mWA1_,0.1745763336713924,-3,0.15202262249555243,13
mWA2_,0.17010501863064034,3,0.3112150689734964,4
mWA3_,0.24734114126885673,13,0.18395990361587924,-13
mWA4_,0.09629804914683607,14,0.19676944203796526,11
mWA5_,0.018154755202830702,5,0.20413989447281736,7
