track,exp04_corr,exp04_lag,exp06a_corr,exp06a_lag
mBR0_,0.11299866899265082,3,0.23539239420055164,15
mBR1_,0.24752145638240441,2,0.14511016063927895,-8
mBR2_,0.13056325105738092,-4,0.1272248695363078,5
mBR3_,0.24622072392775304,-12,0.1952545255779896,-9
mBR4_,0.16920636190886493,5,0.12248237227235505,-13
mBR5_,0.1424500086744351,-10,0.12935969317270832,-14
mHO0_,0.20278342353942982,9,0.11468768697243484,12
mHO1_,0.2529761735072144,2,0.15560320153663001,15
mHO2_,0.23311969178961198,14,0.12371414819361343,-9
mHO3_,0.4366133718562166,0,0.29453309053213794,11
mHO4_,0.11643258117929316,-13,0.21646363288451317,-2
mHO5_,0.10901311240344055,0,0.16230619066197852,10
mJB0_,0.12908032665685246,-15,0.13250020584958142,-7
mJB1_,0.13468108907739243,8,0.10867047175276631,-6
mJB2_,0.18414545033405041,10,0.4353653787091961,11
mJB3_,0.20036523039781803,1,0.2540205945455076,-13
mJB4_,0.3663492957259698,-3,0.1720920923113656,-15
mJB5_,0.16036181165343324,-12,0.11945182122174894,7
mJS0_,0.196766604407248,2,0.2063864460057656,3
mJS1_,0.25825532655873623,10,0.21602382749577373,-5
mJS2_,0.2178510391343798,0,0.16169712658418142,4
mJS3_,0.09779637434250028,7,0.25240718559565245,-13
mJS4_,0.13550569462801088,-12,0.15162459183081664,-5
mJS5_,0.14352123581201076,-12,0.1750043780719127,-7
mKR0_,0.1464622675814003,-10,0.1639240311277806,-13
mKR1_,0.09582329516397123,11,0.15831663125988982,3
mKR2_,0.27230061275240997,-15,0.26857217810882617,0
mKR3_,0.24951118501330755,0,0.26018053596869384,2
mKR4_,0.09481998614245805,4,0.13709134159795636,-12
mKR5_,0.11235564632167833,6,0.11423214063673004,-3
mLH0_,0.09703108076508753,10,0.2249945259838417,0
mLH1_,0.21235394273917035,-2,0.45560633635503855,-3
mLH2_,0.015021244907237068,15,0.32634393501269404,-6
mLH3_,0.12459643224570663,-14,0.1051444359402607,-8
mLH4_,0.15373417317065402,13,0.18565123770908895,13
mLH5_,0.1710481222551429,10,0.21140691267047318,-12
mLO0_,0.18558814168500676,-13,0.11755231956693214,2
mLO1_,0.1655612777513732,-3,0.14356959573668632,-3
mLO2_,0.19283723012454015,-4,0.12589905133970986,-4
mLO3_,0.11037990919328113,1,0.15414358524794083,8
mLO4_,0.13133300955671373,7,0.10636701407586095,13
mLO5_,0.12433940940914871,-6,0.22235094529586888,2
mMH0_,0.09772219068637954,0,0.10575352130751742,-12
mMH1_,0.1764563334810362,-11,0.08249847370296559,15
mMH2_,0.2146542140232965,13,0.09498937280655022,-14
mMH3_,0.11450441217361704,13,0.13379966414649977,13
mMH4_,0.15488827104682035,10,0.1632944449247224,-15
mMH5_,0.23434807752657913,6,0.10154363280168922,13
mPO0_,0.3787444590433391,-10,0.20469838973819135,13
mPO1_,0.19474815869602302,-8,0.12235317948236894,-11
mPO2_,0.19923125503997446,-2,0.14691619683052326,-8
mPO3_,0.18389633658281923,13,0.3022494290638087,-4
mPO4_,0.15336993997820847,-2,0.1383369915310625,3
mPO5_,0.1055368065957413,-7,0.2084813600587578,6
mWA0_,0.1947845246395075,1,0.15477121427620502,-14
mWA1_,0.20510427702597342,2,0.15202262249555243,13
mWA2_,0.12344406857419885,6,0.3112150689734964,4
mWA3_,0.2669703543070928,10,0.18395990361587924,-13
mWA4_,0.09527046956008052,12,0.19676944203796526,11
mWA5_,0.08213926063663203,0,0.20413989447281736,7
