track,exp06b_jerk,exp07_jerk
mBR0_,0.34499800205230713,0.2332911640405655
mBR1_,0.4891105592250824,0.4679241478443146
mBR2_,0.5999199748039246,0.5044140815734863
mBR3_,0.38421183824539185,0.4065150022506714
mBR4_,0.26130005717277527,0.40024077892303467
mBR5_,0.744366466999054,0.3753339946269989
mHO0_,0.231581911444664,0.7351134419441223
mHO1_,0.2825746536254883,0.34409892559051514
mHO2_,0.16928088665008545,0.41668418049812317
mHO3_,0.5614932179450989,0.39857393503189087
mHO4_,0.4033943712711334,0.3818467855453491
mHO5_,0.5969259738922119,0.437257319688797
mJB0_,0.4593745768070221,0.29691362380981445
mJB1_,0.29116350412368774,0.433605432510376
mJB2_,0.24322789907455444,0.3570622503757477
mJB3_,0.746900737285614,0.4602961242198944
mJB4_,0.4081188440322876,0.4798907935619354
mJB5_,0.4113425016403198,0.3431088626384735
mJS0_,0.6108779311180115,0.32145753502845764
mJS1_,0.6303730607032776,0.5341742634773254
mJS2_,0.28340449929237366,0.39623352885246277
mJS3_,0.3335378170013428,0.3839308023452759
mJS4_,0.4778697192668915,0.29597121477127075
mJS5_,0.4339323043823242,0.4047081768512726
mKR0_,0.23165127635002136,0.3287408947944641
mKR1_,0.47449222207069397,0.2682144343852997
mKR2_,0.24422983825206757,0.2796422243118286
mKR3_,0.4661521017551422,0.4678616225719452
mKR4_,0.15077728033065796,0.27085524797439575
mKR5_,0.1960868388414383,0.28943049907684326
mLH0_,0.6786060929298401,0.24322089552879333
mLH1_,0.3258032202720642,0.5464684367179871
mLH2_,0.22060884535312653,0.5296297669410706
mLH3_,0.26796042919158936,0.2658373713493347
mLH4_,0.6669076681137085,0.33057501912117004
mLH5_,0.22576826810836792,0.3800352215766907
mLO0_,0.4959452748298645,0.3292846083641052
mLO1_,0.2551037669181824,0.26239919662475586
mLO2_,0.4853883981704712,0.38685864210128784
mLO3_,0.3907509744167328,0.3650509715080261
mLO4_,0.3617861866950989,0.4308793246746063
mLO5_,0.24012510478496552,0.36183902621269226
mMH0_,0.31140193343162537,0.3212117850780487
mMH1_,0.2917449474334717,0.3606668710708618
mMH2_,0.5064221024513245,0.3928889036178589
mMH3_,0.26676544547080994,0.35025814175605774
mMH4_,0.353181391954422,0.3185449540615082
mMH5_,0.4444524049758911,0.305966317653656
mPO0_,0.4092932343482971,0.33499956130981445
mPO1_,0.3096986711025238,0.500933825969696
mPO2_,0.25135451555252075,0.40625306963920593
mPO3_,0.40752506256103516,0.276363343000412
mPO4_,0.2876039445400238,0.3713447153568268
mPO5_,0.3458579480648041,0.37187835574150085
mWA0_,0.3627859055995941,0.34700265526771545
mWA1_,0.5053225159645081,0.5485719442367554
mWA2_,0.25626182556152344,0.3412055969238281
mWA3_,0.4846349060535431,0.5136728286743164
mWA4_,0.24878427386283875,0.462950736284256
mWA5_,0.4900013506412506,0.6214063167572021
