track,exp01_jerk,exp13_jerk
mBR0_,0.13391800224781036,0.3299311399459839
mBR1_,0.14330001175403595,0.18666839599609375
mBR2_,0.1885818988084793,0.3148678243160248
mBR3_,0.3256719708442688,0.22369597852230072
mBR4_,0.17588961124420166,0.19489875435829163
mBR5_,0.14140760898590088,0.11430597305297852
mHO0_,0.1334262639284134,0.34176406264305115
mHO1_,0.32116690278053284,0.30172300338745117
mHO2_,0.46853959560394287,0.4350018799304962
mHO3_,0.2720448970794678,0.07457901537418365
mHO4_,0.08573742210865021,0.2124059498310089
mHO5_,0.18903197348117828,0.20745131373405457
mJB0_,0.17767660319805145,0.19971808791160583
mJB1_,0.06365793198347092,0.6963663101196289
mJB2_,0.512076735496521,0.1915464550256729
mJB3_,0.3586159646511078,0.1250150352716446
mJB4_,0.11216393113136292,0.2531672716140747
mJB5_,0.14271339774131775,0.23382051289081573
mJS0_,0.23255857825279236,0.1889628767967224
mJS1_,0.42433950304985046,0.4095773994922638
mJS2_,0.141336590051651,0.0968555435538292
mJS3_,0.3346823751926422,0.3705419898033142
mJS4_,0.2096044272184372,0.25329920649528503
mJS5_,0.22228269279003143,0.09894910454750061
mKR0_,0.20696976780891418,0.2117055207490921
mKR1_,0.17440596222877502,0.35807228088378906
mKR2_,0.1944143921136856,0.258791983127594
mKR3_,0.2282102406024933,0.194350466132164
mKR4_,0.1128145307302475,0.6489471793174744
mKR5_,0.1132115051150322,0.3552127480506897
mLH0_,0.13718469440937042,0.14164073765277863
mLH1_,0.21343573927879333,0.49001437425613403
mLH2_,0.1582031548023224,0.19423703849315643
mLH3_,0.14992637932300568,0.660797655582428
mLH4_,0.15540890395641327,0.4662974774837494
mLH5_,0.14790010452270508,0.1262482851743698
mLO0_,0.16241559386253357,0.15632133185863495
mLO1_,0.3141001760959625,0.38883474469184875
mLO2_,0.22353419661521912,0.12509390711784363
mLO3_,0.193126380443573,0.10314948111772537
mLO4_,0.20705191791057587,0.14932025969028473
mLO5_,0.13880756497383118,0.0945143774151802
mMH0_,0.12560251355171204,0.231056347489357
mMH1_,0.2929946780204773,0.08422468602657318
mMH2_,0.18524910509586334,0.16449478268623352
mMH3_,0.23495084047317505,0.13112524151802063
mMH4_,0.17800532281398773,0.5321444272994995
mMH5_,0.3618476390838623,0.2097165435552597
mPO0_,0.13338230550289154,0.16418060660362244
mPO1_,0.15162809193134308,0.21903449296951294
mPO2_,0.2917272746562958,0.17995908856391907
mPO3_,0.5826647281646729,0.9452654719352722
mPO4_,0.21039122343063354,0.17225199937820435
mPO5_,0.2059849202632904,0.5858092904090881
mWA0_,0.21238963305950165,0.16363827884197235
mWA1_,0.1610599160194397,0.1519697606563568
mWA2_,0.24186909198760986,0.2527112364768982
mWA3_,0.19285887479782104,0.36880114674568176
mWA4_,0.13122975826263428,0.17483043670654297
mWA5_,0.08988974243402481,0.29727643728256226
