track,exp01_corr,exp01_lag,lam_0p01_corr,lam_0p01_lag
mBR0_,0.23437993104158522,-6,0.2087698499916319,8
mBR1_,0.2346831841216211,14,0.22529567865347602,6
mBR2_,0.22381584648384922,-14,0.13065683611789786,2
mBR3_,0.1640318785842932,-12,0.43223643552353713,-7
mBR4_,0.07878746810646496,-11,0.22507232187890966,-8
mBR5_,0.09232236893983728,-2,0.21447460166030155,7
mHO0_,0.09774104325201173,5,0.08660497392028356,14
mHO1_,0.12430834268769111,11,0.16659464347928823,-13
mHO2_,0.1537183043628782,-7,0.22086664405037676,9
mHO3_,0.12972525225785528,10,0.4265954728275301,13
mHO4_,0.07596245021347457,0,0.10428465510120231,-9
mHO5_,0.13337289850733156,-5,0.1224523710753027,9
mJB0_,0.07134692888198953,15,0.20918299835309478,12
mJB1_,0.07108580338955624,-8,0.0914072314101219,-1
mJB2_,0.18612706035588922,14,0.13832137100927702,4
mJB3_,0.2716165357469251,11,0.34361442994512775,9
mJB4_,0.14436105416088185,7,0.1507783866366716,-12
mJB5_,0.1319291570979775,6,0.14092471594920017,-14
mJS0_,0.07759018063049576,-9,0.25858908641595674,4
mJS1_,0.19767169337559792,2,0.3031007335800492,-13
mJS2_,0.17923243673782716,-15,0.23135663314471402,-9
mJS3_,0.11358346376497828,13,0.24827119222563301,1
mJS4_,0.1186264407326901,-1,0.18838353945415687,3
mJS5_,0.15432778475456077,13,0.09125087900481707,13
mKR0_,0.08305267342825114,-15,0.1631595095083663,6
mKR1_,0.10387868638480673,-6,0.20576926626356054,12
mKR2_,0.0740040640198312,-2,0.25312205992462455,-12
mKR3_,0.19966768844990077,-8,0.3234838265155941,8
mKR4_,0.11841722479925489,15,0.13239874935833068,-13
mKR5_,0.12642306147856971,-1,0.06259471964517936,6
mLH0_,0.17027425919249575,-7,0.364558580736948,-10
mLH1_,0.4514060812820605,11,0.28886274016112384,-3
mLH2_,0.12418829275208403,15,0.17389423576540367,7
mLH3_,0.16805413237366276,13,0.27965633119347416,5
mLH4_,0.07963502127171843,3,0.19217860309526016,-14
mLH5_,0.23780964708893318,5,0.20670018984721555,-12
mLO0_,0.17277283282013348,-12,0.26860326815284924,-10
mLO1_,0.20315990694766586,-7,0.08451254597046944,8
mLO2_,0.11292783147913094,-6,0.0977776978975632,-6
mLO3_,0.14698448087335883,1,0.11832692165996032,1
mLO4_,0.10847151978059151,-15,0.13879903626885048,-6
mLO5_,0.12741628007007677,-7,0.1019967354800959,14
mMH0_,0.10948626245422524,10,0.22654457330190625,-8
mMH1_,0.20791362799585228,-8,0.2231363051665153,0
mMH2_,0.21685908271042173,-13,0.2419970856249931,9
mMH3_,0.21906099378820537,2,0.0677799827388386,4
mMH4_,0.10638683831642565,13,0.12422525679634294,5
mMH5_,0.18710470493907222,14,0.22921765317453752,7
mPO0_,0.16615130410631682,-12,0.15800368309183596,8
mPO1_,0.2392794960256461,-2,0.21971579142958134,15
mPO2_,0.1239715505062076,5,0.26676361567440177,-10
mPO3_,0.2509607504414746,11,0.22009041297077525,-4
mPO4_,0.07555427912493783,-2,0.14426797759334486,2
mPO5_,0.16756604846238973,-1,0.16416982364453594,15
mWA0_,0.26108639240042675,-15,0.19662979523858415,-15
mWA1_,0.1745763336713924,-3,0.3350541793023454,-15
mWA2_,0.17010501863064034,3,0.20508558433903565,7
mWA3_,0.24734114126885673,13,0.19049203543484944,-13
mWA4_,0.09629804914683607,14,0.17233591774051088,-11
mWA5_,0.018154755202830702,5,0.22152817848765935,1
