track,exp01_jerk,lam_0p01_jerk
mBR0_,0.13391800224781036,0.3424077033996582
mBR1_,0.14330001175403595,0.43326619267463684
mBR2_,0.1885818988084793,0.3970741331577301
mBR3_,0.3256719708442688,0.5070376396179199
mBR4_,0.17588961124420166,0.26859167218208313
mBR5_,0.14140760898590088,0.43599456548690796
mHO0_,0.1334262639284134,0.22452962398529053
mHO1_,0.32116690278053284,0.34528282284736633
mHO2_,0.46853959560394287,0.5283086895942688
mHO3_,0.2720448970794678,0.49624788761138916
mHO4_,0.08573742210865021,0.5120038390159607
mHO5_,0.18903197348117828,0.3007502853870392
mJB0_,0.17767660319805145,0.36918359994888306
mJB1_,0.06365793198347092,0.2956942021846771
mJB2_,0.512076735496521,0.25409117341041565
mJB3_,0.3586159646511078,0.24534928798675537
mJB4_,0.11216393113136292,0.3461655378341675
mJB5_,0.14271339774131775,0.21838994324207306
mJS0_,0.23255857825279236,0.450191468000412
mJS1_,0.42433950304985046,0.47005513310432434
mJS2_,0.141336590051651,0.31795772910118103
mJS3_,0.3346823751926422,0.3382178544998169
mJS4_,0.2096044272184372,0.3331677317619324
mJS5_,0.22228269279003143,0.2518203854560852
mKR0_,0.20696976780891418,0.253165066242218
mKR1_,0.17440596222877502,0.5210444331169128
mKR2_,0.1944143921136856,0.2435237318277359
mKR3_,0.2282102406024933,0.5154626965522766
mKR4_,0.1128145307302475,0.2189035713672638
mKR5_,0.1132115051150322,0.31049641966819763
mLH0_,0.13718469440937042,0.5675297379493713
mLH1_,0.21343573927879333,0.27825257182121277
mLH2_,0.1582031548023224,0.2699960470199585
mLH3_,0.14992637932300568,0.2050955444574356
mLH4_,0.15540890395641327,0.39170974493026733
mLH5_,0.14790010452270508,0.8758455514907837
mLO0_,0.16241559386253357,0.690370500087738
mLO1_,0.3141001760959625,0.15075471997261047
mLO2_,0.22353419661521912,0.20175762474536896
mLO3_,0.193126380443573,0.16223371028900146
mLO4_,0.20705191791057587,0.3738382160663605
mLO5_,0.13880756497383118,0.2062544971704483
mMH0_,0.12560251355171204,0.4472724199295044
mMH1_,0.2929946780204773,0.35724204778671265
mMH2_,0.18524910509586334,0.4505937397480011
mMH3_,0.23495084047317505,0.19233742356300354
mMH4_,0.17800532281398773,0.2896046042442322
mMH5_,0.3618476390838623,0.4062475860118866
mPO0_,0.13338230550289154,0.3752463757991791
mPO1_,0.15162809193134308,0.33194634318351746
mPO2_,0.2917272746562958,0.4020549952983856
mPO3_,0.5826647281646729,0.2565756142139435
mPO4_,0.21039122343063354,0.2788807451725006
mPO5_,0.2059849202632904,0.4282439351081848
mWA0_,0.21238963305950165,0.3281124234199524
mWA1_,0.1610599160194397,0.5983584523200989
mWA2_,0.24186909198760986,0.2680128216743469
mWA3_,0.19285887479782104,0.5733259320259094
mWA4_,0.13122975826263428,0.22733502089977264
mWA5_,0.08988974243402481,0.35856515169143677
