track,exp06b_jerk,exp08_jerk
mBR0_,0.34499800205230713,0.3891462981700897
mBR1_,0.4891105592250824,0.25803178548812866
mBR2_,0.5999199748039246,0.3559373617172241
mBR3_,0.38421183824539185,0.18208545446395874
mBR4_,0.26130005717277527,0.30770549178123474
mBR5_,0.744366466999054,0.21319793164730072
mHO0_,0.231581911444664,0.3114655315876007
mHO1_,0.2825746536254883,0.6726297736167908
mHO2_,0.16928088665008545,0.3133077025413513
mHO3_,0.5614932179450989,0.11181618273258209
mHO4_,0.4033943712711334,0.19018074870109558
mHO5_,0.5969259738922119,0.3507024645805359
mJB0_,0.4593745768070221,0.14485615491867065
mJB1_,0.29116350412368774,0.28344693779945374
mJB2_,0.24322789907455444,0.21694821119308472
mJB3_,0.746900737285614,0.2929588258266449
mJB4_,0.4081188440322876,0.41819503903388977
mJB5_,0.4113425016403198,0.38338276743888855
mJS0_,0.6108779311180115,0.2384364902973175
mJS1_,0.6303730607032776,0.4261757433414459
mJS2_,0.28340449929237366,0.2667502760887146
mJS3_,0.3335378170013428,0.2904096245765686
mJS4_,0.4778697192668915,0.2987343966960907
mJS5_,0.4339323043823242,0.3051421046257019
mKR0_,0.23165127635002136,0.34611085057258606
mKR1_,0.47449222207069397,0.6861036419868469
mKR2_,0.24422983825206757,0.25477221608161926
mKR3_,0.4661521017551422,0.464064359664917
mKR4_,0.15077728033065796,0.4359428882598877
mKR5_,0.1960868388414383,0.2701900899410248
mLH0_,0.6786060929298401,0.37664154171943665
mLH1_,0.3258032202720642,0.1979483813047409
mLH2_,0.22060884535312653,0.4476996660232544
mLH3_,0.26796042919158936,0.38257870078086853
mLH4_,0.6669076681137085,0.723899781703949
mLH5_,0.22576826810836792,0.40764519572257996
mLO0_,0.4959452748298645,0.33637750148773193
mLO1_,0.2551037669181824,0.11829552799463272
mLO2_,0.4853883981704712,0.2748592495918274
mLO3_,0.3907509744167328,0.378379762172699
mLO4_,0.3617861866950989,0.5536317229270935
mLO5_,0.24012510478496552,0.2124990075826645
mMH0_,0.31140193343162537,0.28142014145851135
mMH1_,0.2917449474334717,0.3052397072315216
mMH2_,0.5064221024513245,0.3070090115070343
mMH3_,0.26676544547080994,0.4011819362640381
mMH4_,0.353181391954422,0.8158489465713501
mMH5_,0.4444524049758911,0.4038141071796417
mPO0_,0.4092932343482971,0.32241371273994446
mPO1_,0.3096986711025238,0.5177602767944336
mPO2_,0.25135451555252075,0.5486670136451721
mPO3_,0.40752506256103516,0.3021911680698395
mPO4_,0.2876039445400238,0.26677393913269043
mPO5_,0.3458579480648041,0.3136034309864044
mWA0_,0.3627859055995941,0.21324209868907928
mWA1_,0.5053225159645081,0.5821064710617065
mWA2_,0.25626182556152344,0.24023863673210144
mWA3_,0.4846349060535431,0.38208645582199097
mWA4_,0.24878427386283875,0.364874929189682
mWA5_,0.4900013506412506,0.22105439007282257
