track,exp01_corr,exp01_lag,exp06b_corr,exp06b_lag
mBR0_,0.23437993104158522,-6,0.17049116519694893,8
mBR1_,0.2346831841216211,14,0.171843503197906,6
mBR2_,0.22381584648384922,-14,0.09260194702742279,4
mBR3_,0.1640318785842932,-12,0.19412065420197022,-12
mBR4_,0.07878746810646496,-11,0.2096535595954938,-14
mBR5_,0.09232236893983728,-2,0.09789310414758733,-11
mHO0_,0.09774104325201173,5,0.046495202491679904,-5
mHO1_,0.12430834268769111,11,0.22282597351561706,-5
mHO2_,0.1537183043628782,-7,0.0895885664868939,-8
mHO3_,0.12972525225785528,10,0.20484697127484833,-14
mHO4_,0.07596245021347457,0,0.10364698191059328,3
mHO5_,0.13337289850733156,-5,0.24480205527573468,10
mJB0_,0.07134692888198953,15,0.2017310773138204,14
mJB1_,0.07108580338955624,-8,0.1779663659600996,-14
mJB2_,0.18612706035588922,14,0.19204809486508767,2
mJB3_,0.2716165357469251,11,0.5031542036960143,11
mJB4_,0.14436105416088185,7,0.24694821197334446,-14
mJB5_,0.1319291570979775,6,0.17749152997620363,1
mJS0_,0.07759018063049576,-9,0.1830579408972745,11
mJS1_,0.19767169337559792,2,0.2748030439426833,9
mJS2_,0.17923243673782716,-15,0.2432387454478528,-12
mJS3_,0.11358346376497828,13,0.21735465933465328,1
mJS4_,0.1186264407326901,-1,0.19792722317090056,12
mJS5_,0.15432778475456077,13,0.15811980790986926,-2
mKR0_,0.08305267342825114,-15,0.1660283710278707,5
mKR1_,0.10387868638480673,-6,0.18923981538533366,-13
mKR2_,0.0740040640198312,-2,0.140606170841087,0
mKR3_,0.19966768844990077,-8,0.31402221640484157,8
mKR4_,0.11841722479925489,15,0.12812681289249506,2
mKR5_,0.12642306147856971,-1,0.11031745290146273,-11
mLH0_,0.17027425919249575,-7,0.33044962212248846,-10
mLH1_,0.4514060812820605,11,0.22523590627510515,-4
mLH2_,0.12418829275208403,15,0.0821185604072403,11
mLH3_,0.16805413237366276,13,0.1496015786147654,2
mLH4_,0.07963502127171843,3,0.32490284080515036,-14
mLH5_,0.23780964708893318,5,0.18457260821901045,10
mLO0_,0.17277283282013348,-12,0.15621741650379298,-12
mLO1_,0.20315990694766586,-7,0.13166949567980504,0
mLO2_,0.11292783147913094,-6,0.12812557896422613,0
mLO3_,0.14698448087335883,1,0.2368536796147288,-1
mLO4_,0.10847151978059151,-15,0.1529065796593464,-11
mLO5_,0.12741628007007677,-7,0.15402762551670893,10
mMH0_,0.10948626245422524,10,0.15708086886182415,5
mMH1_,0.20791362799585228,-8,0.18170166116104605,14
mMH2_,0.21685908271042173,-13,0.2515456134785666,-14
mMH3_,0.21906099378820537,2,0.23129425672404869,10
mMH4_,0.10638683831642565,13,0.16514738921327732,6
mMH5_,0.18710470493907222,14,0.20051277000557063,7
mPO0_,0.16615130410631682,-12,0.16666285063688926,6
mPO1_,0.2392794960256461,-2,0.17255705519418565,-5
mPO2_,0.1239715505062076,5,0.16664380309243593,5
mPO3_,0.2509607504414746,11,0.34387993250114807,-1
mPO4_,0.07555427912493783,-2,0.16661791101841758,2
mPO5_,0.16756604846238973,-1,0.21015952742554334,-2
mWA0_,0.26108639240042675,-15,0.22550025242760502,-15
mWA1_,0.1745763336713924,-3,0.22989907817001168,13
mWA2_,0.17010501863064034,3,0.23577133215681811,-9
mWA3_,0.24734114126885673,13,0.1714678895614739,8
mWA4_,0.09629804914683607,14,0.14779121615061216,14
mWA5_,0.018154755202830702,5,0.23114817904659613,1
