track,exp03_corr,exp03_lag,exp06b_corr,exp06b_lag
mBR0_,0.11281108576452602,-15,0.17049116519694893,8
mBR1_,0.10877913138767191,-13,0.171843503197906,6
mBR2_,0.05655974270867284,1,0.09260194702742279,4
mBR3_,0.1261224443760674,-10,0.19412065420197022,-12
mBR4_,0.1307282734107676,-15,0.2096535595954938,-14
mBR5_,0.1580611662715656,-1,0.09789310414758733,-11
mHO0_,0.10112292493161201,9,0.046495202491679904,-5
mHO1_,0.2329789077265576,-10,0.22282597351561706,-5
mHO2_,0.2143861284134295,-14,0.0895885664868939,-8
mHO3_,0.29075416248162256,2,0.20484697127484833,-14
mHO4_,0.007978707405291264,1,0.10364698191059328,3
mHO5_,0.29167447291709164,4,0.24480205527573468,10
mJB0_,0.21555737481715773,14,0.2017310773138204,14
mJB1_,0.2431116347957329,1,0.1779663659600996,-14
mJB2_,0.18113856829291866,1,0.19204809486508767,2
mJB3_,0.5708163420563996,8,0.5031542036960143,11
mJB4_,0.2068683062929835,-10,0.24694821197334446,-14
mJB5_,0.150414107100267,-7,0.17749152997620363,1
mJS0_,0.1809504103536805,-7,0.1830579408972745,11
mJS1_,0.1808812028634174,3,0.2748030439426833,9
mJS2_,0.18494798186290487,0,0.2432387454478528,-12
mJS3_,0.20627490096121912,-11,0.21735465933465328,1
mJS4_,0.139156836439801,-13,0.19792722317090056,12
mJS5_,0.1099442982444832,-15,0.15811980790986926,-2
mKR0_,0.07536345862218037,-11,0.1660283710278707,5
mKR1_,0.19222170637831767,-8,0.18923981538533366,-13
mKR2_,0.06532661054140469,13,0.140606170841087,0
mKR3_,0.16579514589324765,5,0.31402221640484157,8
mKR4_,0.0878970426015849,-4,0.12812681289249506,2
mKR5_,0.06737859554162728,8,0.11031745290146273,-11
mLH0_,0.13918112875954777,-11,0.33044962212248846,-10
mLH1_,0.18915304335529856,13,0.22523590627510515,-4
mLH2_,0.1810885216469327,8,0.0821185604072403,11
mLH3_,0.13565993233304963,11,0.1496015786147654,2
mLH4_,0.1972652638059342,14,0.32490284080515036,-14
mLH5_,0.232844072397969,-5,0.18457260821901045,10
mLO0_,0.09001115077019368,14,0.15621741650379298,-12
mLO1_,0.0281775234033289,-8,0.13166949567980504,0
mLO2_,0.13013871643426095,9,0.12812557896422613,0
mLO3_,0.16047348548151388,-5,0.2368536796147288,-1
mLO4_,0.09766386905211191,0,0.1529065796593464,-11
mLO5_,0.06099270490297573,1,0.15402762551670893,10
mMH0_,0.20943194635745252,11,0.15708086886182415,5
mMH1_,0.1541002565093106,10,0.18170166116104605,14
mMH2_,0.25898377415023416,-14,0.2515456134785666,-14
mMH3_,0.12203514649010987,3,0.23129425672404869,10
mMH4_,0.09021826882181852,-4,0.16514738921327732,6
mMH5_,0.08489899866612352,-6,0.20051277000557063,7
mPO0_,0.2553381131675694,6,0.16666285063688926,6
mPO1_,0.14978863576734597,-5,0.17255705519418565,-5
mPO2_,0.20482993118303636,-11,0.16664380309243593,5
mPO3_,0.04950420935590048,-6,0.34387993250114807,-1
mPO4_,0.15838364444756126,-10,0.16661791101841758,2
mPO5_,0.18836325343144186,13,0.21015952742554334,-2
mWA0_,0.10651645487639197,3,0.22550025242760502,-15
mWA1_,0.1666140305059187,-2,0.22989907817001168,13
mWA2_,0.30931549945863246,1,0.23577133215681811,-9
mWA3_,0.13784456891317143,-6,0.1714678895614739,8
mWA4_,0.14234842768220435,-1,0.14779121615061216,14
mWA5_,0.10742226458553686,0,0.23114817904659613,1
