track,exp03_jerk,exp04_jerk
mBR0_,0.19233527779579163,0.31096237897872925
mBR1_,0.19709022343158722,0.4250471591949463
mBR2_,0.22911998629570007,0.3545035421848297
mBR3_,0.283582478761673,0.7426811456680298
mBR4_,0.20898647606372833,0.39544880390167236
mBR5_,0.21729536354541779,0.3917386829853058
mHO0_,0.23833931982517242,0.5178142786026001
mHO1_,0.18573476374149323,0.4736221134662628
mHO2_,0.2417038083076477,0.2191564291715622
mHO3_,0.13079528510570526,0.629839301109314
mHO4_,0.08943163603544235,0.29097527265548706
mHO5_,0.4212304949760437,0.20371952652931213
mJB0_,0.3755590319633484,0.2011791616678238
mJB1_,0.08861442655324936,0.26657021045684814
mJB2_,0.3180433511734009,0.4311045706272125
mJB3_,0.33188721537590027,0.22348998486995697
mJB4_,0.31969213485717773,0.4708748161792755
mJB5_,0.6849713921546936,0.29211774468421936
mJS0_,0.15967364609241486,0.2223796248435974
mJS1_,0.37170150876045227,0.43543124198913574
mJS2_,0.28163596987724304,0.33185437321662903
mJS3_,0.23524659872055054,0.409380704164505
mJS4_,0.13118736445903778,0.21969227492809296
mJS5_,0.15697625279426575,0.2640877962112427
mKR0_,0.10297758132219315,0.2767878472805023
mKR1_,0.12322305142879486,0.22866027057170868
mKR2_,0.18189184367656708,0.2738558053970337
mKR3_,0.13075858354568481,0.2553293704986572
mKR4_,0.07696706801652908,0.2827436923980713
mKR5_,0.09369651228189468,0.22119659185409546
mLH0_,0.25524112582206726,0.2963038980960846
mLH1_,0.17784056067466736,0.23738552629947662
mLH2_,0.11447768658399582,0.1986018568277359
mLH3_,0.2826961576938629,0.1492505967617035
mLH4_,0.14470535516738892,0.38958609104156494
mLH5_,0.2250288426876068,0.2399628758430481
mLO0_,0.3320586681365967,0.8893836140632629
mLO1_,0.18911902606487274,0.34005311131477356
mLO2_,0.38396015763282776,0.34529462456703186
mLO3_,0.24661384522914886,0.30895528197288513
mLO4_,0.2770721912384033,0.3586282730102539
mLO5_,0.26151520013809204,0.27145275473594666
mMH0_,0.27818286418914795,0.2224351018667221
mMH1_,0.2547427713871002,0.26900508999824524
mMH2_,0.39563292264938354,0.3040604889392853
mMH3_,0.15297092497348785,0.30888107419013977
mMH4_,0.2700774669647217,0.687446653842926
mMH5_,0.22461949288845062,0.29044610261917114
mPO0_,0.09323977679014206,0.3756920397281647
mPO1_,0.22099128365516663,0.2794572114944458
mPO2_,0.23823316395282745,0.401437371969223
mPO3_,0.12938399612903595,0.21762390434741974
mPO4_,0.1132090836763382,0.3045981824398041
mPO5_,0.35032492876052856,0.2018056958913803
mWA0_,0.0978957787156105,0.2804674208164215
mWA1_,0.2301214039325714,0.3914421796798706
mWA2_,0.27268198132514954,0.19924284517765045
mWA3_,0.13436728715896606,0.910507321357727
mWA4_,0.5674750804901123,0.21876011788845062
mWA5_,0.23031234741210938,0.2781177759170532
