track,exp03_jerk,exp06b_jerk
mBR0_,0.19233527779579163,0.34499800205230713
mBR1_,0.19709022343158722,0.4891105592250824
mBR2_,0.22911998629570007,0.5999199748039246
mBR3_,0.283582478761673,0.38421183824539185
mBR4_,0.20898647606372833,0.26130005717277527
mBR5_,0.21729536354541779,0.744366466999054
mHO0_,0.23833931982517242,0.231581911444664
mHO1_,0.18573476374149323,0.2825746536254883
mHO2_,0.2417038083076477,0.16928088665008545
mHO3_,0.13079528510570526,0.5614932179450989
mHO4_,0.08943163603544235,0.4033943712711334
mHO5_,0.4212304949760437,0.5969259738922119
mJB0_,0.3755590319633484,0.4593745768070221
mJB1_,0.08861442655324936,0.29116350412368774
mJB2_,0.3180433511734009,0.24322789907455444
mJB3_,0.33188721537590027,0.746900737285614
mJB4_,0.31969213485717773,0.4081188440322876
mJB5_,0.6849713921546936,0.4113425016403198
mJS0_,0.15967364609241486,0.6108779311180115
mJS1_,0.37170150876045227,0.6303730607032776
mJS2_,0.28163596987724304,0.28340449929237366
mJS3_,0.23524659872055054,0.3335378170013428
mJS4_,0.13118736445903778,0.4778697192668915
mJS5_,0.15697625279426575,0.4339323043823242
mKR0_,0.10297758132219315,0.23165127635002136
mKR1_,0.12322305142879486,0.47449222207069397
mKR2_,0.18189184367656708,0.24422983825206757
mKR3_,0.13075858354568481,0.4661521017551422
mKR4_,0.07696706801652908,0.15077728033065796
mKR5_,0.09369651228189468,0.1960868388414383
mLH0_,0.25524112582206726,0.6786060929298401
mLH1_,0.17784056067466736,0.3258032202720642
mLH2_,0.11447768658399582,0.22060884535312653
mLH3_,0.2826961576938629,0.26796042919158936
mLH4_,0.14470535516738892,0.6669076681137085
mLH5_,0.2250288426876068,0.22576826810836792
mLO0_,0.3320586681365967,0.4959452748298645
mLO1_,0.18911902606487274,0.2551037669181824
mLO2_,0.38396015763282776,0.4853883981704712
mLO3_,0.24661384522914886,0.3907509744167328
mLO4_,0.2770721912384033,0.3617861866950989
mLO5_,0.26151520013809204,0.24012510478496552
mMH0_,0.27818286418914795,0.31140193343162537
mMH1_,0.2547427713871002,0.2917449474334717
mMH2_,0.39563292264938354,0.5064221024513245
mMH3_,0.15297092497348785,0.26676544547080994
mMH4_,0.2700774669647217,0.353181391954422
mMH5_,0.22461949288845062,0.4444524049758911
mPO0_,0.09323977679014206,0.4092932343482971
mPO1_,0.22099128365516663,0.3096986711025238
mPO2_,0.23823316395282745,0.25135451555252075
mPO3_,0.12938399612903595,0.40752506256103516
mPO4_,0.1132090836763382,0.2876039445400238
mPO5_,0.35032492876052856,0.3458579480648041
mWA0_,0.0978957787156105,0.3627859055995941
mWA1_,0.2301214039325714,0.5053225159645081
mWA2_,0.27268198132514954,0.25626182556152344
mWA3_,0.13436728715896606,0.4846349060535431
mWA4_,0.5674750804901123,0.24878427386283875
mWA5_,0.23031234741210938,0.4900013506412506
