track,exp01_jerk,exp12_jerk
mBR0_,0.13391800224781036,0.1789320558309555
mBR1_,0.14330001175403595,0.18559451401233673
mBR2_,0.1885818988084793,0.17560315132141113
mBR3_,0.3256719708442688,0.2348891794681549
mBR4_,0.17588961124420166,0.19298233091831207
mBR5_,0.14140760898590088,0.3088217079639435
mHO0_,0.1334262639284134,0.34946951270103455
mHO1_,0.32116690278053284,0.14549532532691956
mHO2_,0.46853959560394287,0.19292356073856354
mHO3_,0.2720448970794678,0.1623585969209671
mHO4_,0.08573742210865021,0.22143761813640594
mHO5_,0.18903197348117828,0.19934487342834473
mJB0_,0.17767660319805145,0.39996179938316345
mJB1_,0.06365793198347092,0.21332323551177979
mJB2_,0.512076735496521,0.3492692708969116
mJB3_,0.3586159646511078,0.44353407621383667
mJB4_,0.11216393113136292,0.39693599939346313
mJB5_,0.14271339774131775,0.2316555380821228
mJS0_,0.23255857825279236,0.23122990131378174
mJS1_,0.42433950304985046,0.25255948305130005
mJS2_,0.141336590051651,0.2822408974170685
mJS3_,0.3346823751926422,0.26797404885292053
mJS4_,0.2096044272184372,0.6140871047973633
mJS5_,0.22228269279003143,0.17373405396938324
mKR0_,0.20696976780891418,0.45658355951309204
mKR1_,0.17440596222877502,0.32629910111427307
mKR2_,0.1944143921136856,0.1791207641363144
mKR3_,0.2282102406024933,0.23103196918964386
mKR4_,0.1128145307302475,0.2268909066915512
mKR5_,0.1132115051150322,0.39160338044166565
mLH0_,0.13718469440937042,0.3091569244861603
mLH1_,0.21343573927879333,0.24934163689613342
mLH2_,0.1582031548023224,0.2544809877872467
mLH3_,0.14992637932300568,0.34282633662223816
mLH4_,0.15540890395641327,0.3493782579898834
mLH5_,0.14790010452270508,0.22396329045295715
mLO0_,0.16241559386253357,0.1632479727268219
mLO1_,0.3141001760959625,0.2527034878730774
mLO2_,0.22353419661521912,0.22843478620052338
mLO3_,0.193126380443573,0.18587490916252136
mLO4_,0.20705191791057587,0.23594504594802856
mLO5_,0.13880756497383118,0.37351280450820923
mMH0_,0.12560251355171204,0.2046508491039276
mMH1_,0.2929946780204773,0.16389822959899902
mMH2_,0.18524910509586334,0.1829744130373001
mMH3_,0.23495084047317505,0.24817948043346405
mMH4_,0.17800532281398773,0.32321643829345703
mMH5_,0.3618476390838623,0.228892520070076
mPO0_,0.13338230550289154,0.21272383630275726
mPO1_,0.15162809193134308,0.37410327792167664
mPO2_,0.2917272746562958,0.28611651062965393
mPO3_,0.5826647281646729,0.22572091221809387
mPO4_,0.21039122343063354,0.2326829880475998
mPO5_,0.2059849202632904,0.20563986897468567
mWA0_,0.21238963305950165,0.2180478870868683
mWA1_,0.1610599160194397,0.41271546483039856
mWA2_,0.24186909198760986,0.16341376304626465
mWA3_,0.19285887479782104,0.41169872879981995
mWA4_,0.13122975826263428,0.3636695444583893
mWA5_,0.08988974243402481,0.2952440679073334
